profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,coefficient_semantics,external_memory_technology,external_memory_topology,denominator_metric,pair,pairing,pair_energy_basis,ncu_control_acceptance_required,ncu_control_acceptance_exact,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,pair_start_distance_ms,pair_completion_distance_ms,pair_transition_gap_ms,pair_transition_gap_limit_ms,pair_timing_source,pair_execution_order,numerator_measurement_start_epoch_ms,numerator_measurement_end_epoch_ms,control_measurement_start_epoch_ms,control_measurement_end_epoch_ms,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_ITER,control_ITER,iter_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_measurement_scope,control_measurement_scope,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,numerator_power_state_status,control_power_state_status,numerator_power_state_reasons,control_power_state_reasons,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,256,8,82,1,16,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784034198615_r0,global_addr_only_1784034179314_r0,19301,19301.0,19301.0,10289.0,30000.0,exact_epoch_interval,control_then_treatment,1784034189599.0,1784034200940.0,1784034174727.0,1784034179310.0,11.341499572,4.582559416,2.474926900544087,830613,830613,1.0,2766.12137006,915.282660718,199.73176071046495,915.282660718,1850.8387093420001,0.6691097250377894,expected_dram_bytes,8918873210100.0,0.999050605587843,ncu_actual_exact,1073770000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,207.51934305401437,pJ/byte,25.939917881751796,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,256,8,82,1,16,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784034456357_r0,global_addr_only_1784034468812_r0,12455,12455.0,12455.0,7986.0,30000.0,exact_epoch_interval,treatment_then_control,1784034444991.0,1784034456348.0,1784034464334.0,1784034468806.0,11.357274836,4.472360587,2.5394363032830296,830613,830613,1.0,2699.15979868,944.084578281,211.09312630676754,944.084578281,1755.0752203990003,0.6502302017306659,expected_dram_bytes,8918873210100.0,0.999050605587843,ncu_actual_exact,1073770000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,196.78216956952593,pJ/byte,24.59777119619074,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,256,8,82,1,16,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784034739347_r0,global_addr_only_1784034720031_r0,19316,19316.0,19316.0,10293.0,30000.0,exact_epoch_interval,control_then_treatment,1784034730320.0,1784034741705.0,1784034715523.0,1784034720027.0,11.385303506,4.503521456,2.5280891003264716,830613,830613,1.0,2753.3244649,956.398676016,212.36685233103506,956.398676016,1796.9257888839998,0.6526385872030755,expected_dram_bytes,8918873210100.0,0.999050605587843,ncu_actual_exact,1073770000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,201.4745300840365,pJ/byte,25.184316260504563,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,256,8,82,1,16,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784035301076_r0,global_addr_only_1784035313609_r0,12533,12533.0,12533.0,7917.0,30000.0,exact_epoch_interval,treatment_then_control,1784035289618.0,1784035301066.0,1784035308983.0,1784035313604.0,11.448114186,4.620729208,2.477555742972246,830613,830613,1.0,2742.86951809,955.222375163,206.7254608881205,955.222375163,1787.647142927,0.6517434136538256,expected_dram_bytes,8918873210100.0,0.999050605587843,ncu_actual_exact,1073770000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,200.43419172083472,pJ/byte,25.05427396510434,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,256,8,82,1,16,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784035583920_r0,global_addr_only_1784035564740_r0,19180,19180.0,19180.0,10331.0,30000.0,exact_epoch_interval,control_then_treatment,1784035575061.0,1784035586330.0,1784035560106.0,1784035564730.0,11.269247555,4.62425304,2.4369876513072475,830613,830613,1.0,2710.65766342,919.193031358,198.77654259119004,919.193031358,1791.464632062,0.6608966732456113,expected_dram_bytes,8918873210100.0,0.999050605587843,ncu_actual_exact,1073770000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,200.86221542350123,pJ/byte,25.107776927937653,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,512,8,82,1,4,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784034220147_r0,global_addr_only_1784034232704_r0,12557,12557.0,12557.0,7927.0,30000.0,exact_epoch_interval,treatment_then_control,1784034208884.0,1784034220141.0,1784034228068.0,1784034232700.0,11.25737696,4.631505947,2.4306083353497203,3271996,3271996,1.0,2738.06715556,976.13238345,210.75917738641306,976.13238345,1761.9347721100003,0.6434958209597466,expected_dram_bytes,8796630366160.0,1.0005522937309452,ncu_actual_exact,268846000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,200.2965566096804,pJ/byte,25.03706957621005,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,512,8,82,1,4,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784034502836_r0,global_addr_only_1784034483838_r0,18998,18998.0,18998.0,10301.0,30000.0,exact_epoch_interval,control_then_treatment,1784034494131.0,1784034505221.0,1784034479118.0,1784034483830.0,11.090456376,4.712243417,2.353540637563376,3271996,3271996,1.0,2674.94558514,940.637422027,199.6156265258994,940.637422027,1734.3081631129999,0.6483526890219827,expected_dram_bytes,8796630366160.0,1.0005522937309452,ncu_actual_exact,268846000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,197.1559666511347,pJ/byte,24.644495831391836,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,512,8,82,1,4,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784034760862_r0,global_addr_only_1784034773428_r0,12566,12566.0,12566.0,7927.0,30000.0,exact_epoch_interval,treatment_then_control,1784034749650.0,1784034760856.0,1784034768783.0,1784034773422.0,11.206441114,4.639318417,2.415536099642544,3271996,3271996,1.0,2711.86735268,956.565569249,206.1866600369198,956.565569249,1755.3017834309999,0.6472668295137389,expected_dram_bytes,8796630366160.0,1.0005522937309452,ncu_actual_exact,268846000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,199.54251916546576,pJ/byte,24.94281489568322,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,512,8,82,1,4,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784035043538_r0,global_addr_only_1784035024526_r0,19012,19012.0,19012.0,10302.0,30000.0,exact_epoch_interval,control_then_treatment,1784035034823.0,1784035045961.0,1784035019800.0,1784035024521.0,11.13788552,4.721337654,2.359052949869787,3271996,3271996,1.0,2756.87939185,975.943610659,206.70913249175547,975.943610659,1780.935781191,0.6459969871935186,expected_dram_bytes,8796630366160.0,1.0005522937309452,ncu_actual_exact,268846000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,202.4565892915236,pJ/byte,25.30707366144045,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
rtx3090,0,1,512,8,82,1,4,1,external_memory_read_path,effective_gpu_device_external_read_path_not_pure_memory_device_energy,GDDR6X,off_package_board,NCU dram__bytes_read.sum,dram_cg_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,dram_cg_load_only,global_addr_only,dram_cg_load_only_1784035605355_r0,global_addr_only_1784035618053_r0,12698,12698.0,12698.0,8021.0,30000.0,exact_epoch_interval,treatment_then_control,1784035594209.0,1784035605348.0,1784035613369.0,1784035618048.0,11.139171314,4.67851473,2.380920432412532,3271996,3271996,1.0,2668.547913,936.552610844,200.18160995380686,936.552610844,1731.995302156,0.6490403615083976,expected_dram_bytes,8796630366160.0,1.0005522937309452,ncu_actual_exact,268846000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,196.8930408646998,pJ/byte,24.611630108087475,True,,results/raw/rtx3090_component_finalplan_20260714_dram.csv
