component,rows,ncu_denominator_rows,expected_denominator_rows,unit,energy_source,energy_integration_method,power_semantics,min,median,mean,max,stdev,q1,q3,iqr,mad,cv,relative_iqr,median_ci_low,median_ci_high,median_ci_relative_width,confidence_class,median_pJ_per_bit,min_pJ_per_bit,max_pJ_per_bit,median_pJ_per_bit_ci_low,median_pJ_per_bit_ci_high,median_pJ_per_bit_ci_relative_width
dram_cg_stream_path,3,3,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,one_sec_average,28.587705542455666,35.63481062402967,33.67437895588584,36.800620701172186,4.443586737666409,32.11125808324267,36.217715662600924,4.106457579358256,1.1658100771425168,0.12469791924949811,0.11523724996560367,28.587705542455666,36.800620701172186,0.23047449993120755,low,4.454351328003709,3.5734631928069582,4.600077587646523,3.5734631928069582,4.600077587646523,0.23047449993120755
global_l1_hit_path,3,3,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,one_sec_average,0.02263026053089702,1.0042500833092873,1.1727029338226198,2.4912284576276753,1.2428903961379363,0.5134401719200922,1.7477392704684813,1.234299098548389,0.9816198227783903,1.237630363984897,1.2290754255962073,0.02263026053089702,2.4912284576276753,2.4581508511924146,low,0.12553126041366092,0.0028287825663621275,0.3114035572034594,0.0028287825663621275,0.3114035572034594,2.4581508511924146
l2_hit_cg_path,3,3,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,one_sec_average,5.7199601782930545,9.696049839095508,8.722490113123781,10.751460321982782,2.653273888804743,7.708005008694281,10.223755080539146,2.515750071844865,1.0554104828872735,0.27364482782529226,0.25946133875066235,5.7199601782930545,10.751460321982782,0.5189226775013245,low,1.2120062298869385,0.7149950222866318,1.3439325402478477,0.7149950222866318,1.3439325402478477,0.5189226775013245
shared_l1_scalar_path,3,3,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,one_sec_average,0.04155639693528676,1.2007302943170717,0.9464437180001259,1.5970444627480194,0.808320498250975,0.6211433456261792,1.3988873785325455,0.7777440329063663,0.3963141684309477,0.6731907257413839,0.6477258353414965,0.04155639693528676,1.5970444627480194,1.295451670682993,low,0.15009128678963396,0.005194549616910845,0.19963055784350242,0.005194549616910845,0.19963055784350242,1.295451670682993
tensor_mma_increment,5,0,0,pJ/FLOP,nvml_total_energy,total_energy_mj_delta,one_sec_average,0.08173729754744807,0.18405208347186502,0.181152275711376,0.257680385444705,0.07031118070524839,0.14740447042547314,0.23488714166738875,0.08748267124191561,0.050835058195523725,0.38201784722527443,0.4753147565172148,0.08173729754744807,0.257680385444705,0.9559418430824356,low,,,,,,
