area,check,status,expected,actual,evidence,action
files,command_shell_present,pass,file exists,exists,results/summary/a100_component_finalplan_20260715_commands.sh,run the generated command package or copy the artifact from the node
files,command_plan_present,pass,file exists,exists,results/summary/a100_component_finalplan_20260715_command_plan.md,run the generated command package or copy the artifact from the node
files,preflight_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_preflight.md,run the generated command package or copy the artifact from the node
files,raw_present,missing,all expected files exist,missing=results/raw/a100_component_finalplan_20260715_tensor.csv;results/raw/a100_component_finalplan_20260715_shared.csv;results/raw/a100_component_finalplan_20260715_l1.csv;results/raw/a100_component_finalplan_20260715_l2.csv;results/raw/a100_component_finalplan_20260715_dram.csv,results/raw/a100_component_finalplan_20260715_tensor.csv;results/raw/a100_component_finalplan_20260715_shared.csv;results/raw/a100_component_finalplan_20260715_l1.csv;results/raw/a100_component_finalplan_20260715_l2.csv;results/raw/a100_component_finalplan_20260715_dram.csv,copy the missing platform result files back from the target node
files,tensor_pair_calibration_present,missing,file exists,missing,results/raw/a100_component_finalplan_20260715_tensor_pair_calibration.csv,run the generated command package or copy the artifact from the node
files,l2_pair_calibration_present,missing,file exists,missing,results/raw/a100_component_finalplan_20260715_l2_pair_calibration.csv,run the generated command package or copy the artifact from the node
files,dram_pair_calibration_present,missing,file exists,missing,results/raw/a100_component_finalplan_20260715_dram_pair_calibration.csv,run the generated command package or copy the artifact from the node
files,power_api_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_power_api_audit.csv,run the generated command package or copy the artifact from the node
files,power_state_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_power_state_audit.csv,run the generated command package or copy the artifact from the node
files,ncu_summary_present,missing,file exists,missing,results/ncu/a100_component_finalplan_ncu_factor_20260715/ncu_cache_validation_summary.csv,run the generated command package or copy the artifact from the node
files,ncu_acceptance_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_ncu_acceptance.csv,run the generated command package or copy the artifact from the node
files,matched_summary_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_matched_control_summary.csv,run the generated command package or copy the artifact from the node
files,matched_detail_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_matched_control_detail.csv,run the generated command package or copy the artifact from the node
files,reliability_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_component_reliability_audit.csv,run the generated command package or copy the artifact from the node
files,instability_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_matched_control_instability_audit.csv,run the generated command package or copy the artifact from the node
files,strict_summary_present,missing,file exists,missing,results/summary/a100_strict_scope_fresh_ncu_component_coefficients_20260715.csv,run the generated command package or copy the artifact from the node
files,strict_audit_present,missing,file exists,missing,results/summary/a100_strict_scope_fresh_ncu_component_summary_audit_20260715.csv,run the generated command package or copy the artifact from the node
files,l2_path_selection_present,missing,file exists,missing,results/summary/a100_component_finalplan_20260715_l2_path_selection.csv,run the generated command package or copy the artifact from the node
raw,raw_energy_power_policy,missing,"raw rows use target profile metadata, target active SM, total-energy delta, GPU/device scope, exact timed-kernel epoch interval, explicit measurement_scope, profile power semantics, positive counter delta, elapsed time, and iteration count; Tensor rows carry the runtime-observed fixed-RF v6 revision, register-only operand source, and non-cache reuse semantics, while CG rows carry the ld.global.cg warm-up policy",no_raw_rows_read,results/raw/a100_component_finalplan_20260715_tensor.csv;results/raw/a100_component_finalplan_20260715_shared.csv;results/raw/a100_component_finalplan_20260715_l1.csv;results/raw/a100_component_finalplan_20260715_l2.csv;results/raw/a100_component_finalplan_20260715_dram.csv,copy raw energy CSVs from the target node
