profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,pair_energy_basis,ncu_control_acceptance_required,ncu_control_acceptance_exact,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,pair_start_distance_ms,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_ITER,control_ITER,iter_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_measurement_scope,control_measurement_scope,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,numerator_power_state_status,control_power_state_status,numerator_power_state_reasons,control_power_state_reasons,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,2048,16,82,2,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930145575_r0,reg_operand_only_1783930104716_r0,40859,40859,20.57733301,2.968469662,6.931966754929228,68785825,68785825,1.0,4136.34794037,657.014254429,221.33096485356634,657.014254429,3479.333685941,0.8411607863021723,FLOP,1478606887321600.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.353116109342346,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,2,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930404244_r0,reg_operand_only_1783930363196_r0,41048,41048,20.777703841,3.09427168,6.714893192895073,68785825,68785825,1.0,4157.10696859,653.960503169,211.34553484618394,653.960503169,3503.1464654210004,0.8426885552596668,FLOP,1478606887321600.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.3692209846030963,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,2,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930663990_r0,reg_operand_only_1783930623125_r0,40865,40865,20.561421615,3.081116,6.673368225993438,68785825,68785825,1.0,4072.72154225,664.858577801,215.784987582746,664.858577801,3407.8629644489997,0.8367532445064498,FLOP,1478606887321600.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.3047795825042594,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,2,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930919385_r0,reg_operand_only_1783930878492_r0,40893,40893,20.630666267,2.955104292,6.981366553745981,68785825,68785825,1.0,4099.60620308,680.586723698,230.30886779206776,680.586723698,3419.019479382,0.8339872929290914,FLOP,1478606887321600.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.3123248705917576,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929116163_r0,reg_operand_only_1783929075352_r0,40811,40811,20.543339901,2.999368863,6.849220899243562,35531838,35531838,1.0,4082.2004636,662.490864564,220.87675601905454,662.490864564,3419.7095990360003,0.8377123146030501,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.238658168202968,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929371141_r0,reg_operand_only_1783929330260_r0,40881,40881,20.605934785,3.002993523,6.861797945010085,35531838,35531838,1.0,4114.46638518,646.836391669,215.3971984004842,646.836391669,3467.6299935109996,0.8427897250542972,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2700284876433106,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929629418_r0,reg_operand_only_1783929588633_r0,40785,40785,20.520051267,3.051162803,6.725321653378848,35531838,35531838,1.0,4153.51448296,671.548038493,220.09577392353916,671.548038493,3481.966444467,0.8383181180063151,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.279413615855583,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930209635_r0,reg_operand_only_1783930168835_r0,40800,40800,20.528611884,3.017222739,6.803810543600705,35531838,35531838,1.0,4103.58178799,677.79942238,224.64348210654262,677.79942238,3425.7823656099995,0.8348273636549115,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.242633607666689,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930468427_r0,reg_operand_only_1783930427548_r0,40879,40879,20.595624196,3.045779052,6.762021750223791,35531838,35531838,1.0,4171.80986498,669.878127082,219.93654682276673,669.878127082,3501.9317378980004,0.8394274550464894,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.29248357572366,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930728136_r0,reg_operand_only_1783930687256_r0,40880,40880,20.60806221,3.015347165,6.8343912267229765,35531838,35531838,1.0,4145.71788413,667.982790496,221.5276563340593,667.982790496,3477.735093634,0.8388740360136252,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2766436297411192,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
