component,rows,unit,min,median,mean,max,stdev,median_pJ_per_bit,min_pJ_per_bit,max_pJ_per_bit
dram_cg_stream_path,3,pJ/byte,17.01177871178183,35.840617806655445,33.73213765177604,48.344016436890854,15.772176344383373,4.480077225831931,2.1264723389727287,6.043002054611357
global_l1_hit_path,4,pJ/byte,0.16114220531184106,3.5954919867568575,2.8427791806311924,4.018990543699213,1.8158420045322414,0.4494364983446072,0.020142775663980133,0.5023738179624017
l2_hit_cg_path,5,pJ/byte,4.373163236576896,6.380409940314368,10.172196919794853,20.31081672037684,6.717756700652722,0.797551242539296,0.546645404572112,2.538852090047105
shared_l1_scalar_path,6,pJ/byte,0.12002257907271786,1.784607729785776,2.300015019947929,6.264428329446837,2.1281902411760103,0.223075966223222,0.015002822384089733,0.7830535411808546
tensor_mma_increment,6,pJ/FLOP,0.03485869884862852,0.14556070468259236,0.15656478726657422,0.271055870553389,0.09264749572689847,,,
