profile,tag,artifact_key,artifact_group,expected_path,purpose,validated_by,target_chip,target_compute_capability,expected_power_semantics,expected_active_sm,expected_sm_count,cuda_arch,build_dir,binary,final_numerator_policy
v100,20260716,command_shell,generated runnable command package,results/summary/v100_component_finalplan_20260716_commands.sh,documents the exact finalplan commands used on the target node,platform_command_package,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,command_plan,generated command plan markdown,results/summary/v100_component_finalplan_20260716_command_plan.md,"records target profile, coordinates, power semantics, NCU and audit gates",platform_command_package,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,preflight,node preflight report,results/summary/v100_component_finalplan_20260716_preflight.md,"proves GPU/profile, NVML, power scope, NCU availability, and binary dry-run",preflight,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,raw,raw energy CSVs,results/raw/v100_component_finalplan_20260716_tensor.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,raw,raw energy CSVs,results/raw/v100_component_finalplan_20260716_shared.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,raw,raw energy CSVs,results/raw/v100_component_finalplan_20260716_l1.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,raw,raw energy CSVs,results/raw/v100_component_finalplan_20260716_l2.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,raw,raw energy CSVs,results/raw/v100_component_finalplan_20260716_dram.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,tensor_pair_calibration,Tensor pair calibration manifest,results/raw/v100_component_finalplan_20260716_tensor_pair_calibration.csv,proves reg_mma-calibrated ITER was applied identically to treatment and control,tensor_pair_calibration_policy,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,l2_pair_calibration,L2 pair calibration manifest,results/raw/v100_component_finalplan_20260716_l2_pair_calibration.csv,proves L2 treatment and address control used identical resolved ITER,l2_pair_calibration_policy,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,dram_pair_calibration,DRAM pair calibration manifest,results/raw/v100_component_finalplan_20260716_dram_pair_calibration.csv,proves DRAM treatment and address control used identical resolved ITER,dram_pair_calibration_policy,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,power_api,power API audit,results/summary/v100_component_finalplan_20260716_power_api_audit.csv,proves final rows use nvml_total_energy + total_energy_mj_delta + GPU/device scope,power_api_final_candidate,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,power_state,power-state stability audit,results/summary/v100_component_finalplan_20260716_power_state_audit.csv,"excludes average-power, endpoint-power, clock, and temperature outlier rows",power_state_quality,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,ncu_summary,NCU counter summary,results/ncu/v100_component_finalplan_ncu_factor_20260716/ncu_cache_validation_summary.csv,"records L1/L2 hit rates, L1/L2/DRAM bytes/access counts, shared bytes, tensor inst, stalls",ncu_summary_quality,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,ncu_acceptance,NCU path acceptance,results/summary/v100_component_finalplan_20260716_ncu_acceptance.csv,proves tensor/control/shared/global-L1/L2 candidates use intended paths,ncu_path_acceptance,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,matched_summary,matched-control summary,results/summary/v100_component_finalplan_20260716_matched_control_summary.csv,summarizes treatment-control delta_E and pJ/FLOP or pJ/bit estimates,matched_control_summary,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,matched_detail,matched-control detail,results/summary/v100_component_finalplan_20260716_matched_control_detail.csv,"preserves row-level numerator/control pairing, source files, scopes, and denominators",matched_control_detail,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,reliability,component reliability audit,results/summary/v100_component_finalplan_20260716_component_reliability_audit.csv,"combines power, NCU, and matched-control evidence into accepted/reject component verdicts",component_reliability,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,instability,instability audit,results/summary/v100_component_finalplan_20260716_matched_control_instability_audit.csv,"explains weak-signal, negative, or noisy matched-control rows and follow-up conditions",instability_diagnosis,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,strict_summary,strict component coefficient summary,results/summary/v100_strict_scope_fresh_ncu_component_coefficients_20260716.csv,reporting table built only from accepted reliability evidence,strict_summary_policy,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,strict_audit,strict component summary audit,results/summary/v100_strict_scope_fresh_ncu_component_summary_audit_20260716.csv,"verifies traceability, power matrix policy, NCU denominator, counter schema, coordinate alignment, hierarchy, and plausibility gates",strict_summary_audit_clean,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
v100,20260716,l2_path_selection,L2 NCU-first path selection,results/summary/v100_component_finalplan_20260716_l2_path_selection.csv,records the policy/layout/blocks-SM candidates and the strict path verdict before energy measurement,l2_path_selection_policy,gv100,7.0,instant,80,,70,build-v100,./build-v100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
