label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,ncu_replay_mode,ncu_cache_control,global_warmup_passes,l2_residency_policy,status,shared_accesses,shared_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l1_path_hit_rate_pct,l1_aggregate_hit_rate_pct,l1_hit_rate_source,l2_hit_rate_pct,l2_path_hit_rate_pct,l2_native_read_hit_rate_pct,l2_native_vs_derived_hit_delta_pct,l2_aggregate_hit_rate_pct,l2_hit_rate_source,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l1_request_bytes,l1_hit_bytes,l1_miss_bytes,l2_bytes,l2_read_bytes,l2_read_hit_sectors,l2_read_miss_sectors,l2_read_miss_bytes,l2_read_sector_conservation_ratio,dram_bytes,dram_read_bytes,dram_read_to_l2_miss_bytes_ratio,tensor_hmma_inst,expected_logical_mma,tensor_hmma_per_logical_mma,local_read_bytes,local_write_bytes,spill_local_read_inst,spill_local_write_inst,spill_zero_verified,spill_evidence_source,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,achieved_occupancy_pct,registers_per_thread,shared_mem_per_block_static,shared_mem_per_block_dynamic,launch_persisting_l2_cache_size_bytes,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes,l1_hit_to_request_bytes,l1_request_to_l2_read_bytes,tensor_l2_bytes_per_hmma,tensor_dram_bytes_per_hmma,register_l2_bytes_per_op,register_dram_bytes_per_op,tensor_control_hmma_class,tensor_control_hmma_per_block,tensor_control_hmma_per_reg_op,dram_expected_l2_hit_pct,dram_l2_hit_limit_pct,global_address_control_dram_to_expected
global_addr_only_l2_W16_B16_LR4,global_addr_only,global_scalar_addr_only_kernel,16,16,82,100000,1,4,1,application,none,4,persisting,ok,0,0,sass,0,0,0,0,20.1982,,20.1982,aggregate_fallback,100,100,24.13,75.87,60.4073,srcunit_tex_read_lookup_hit_miss,0,sectors,0,,349211,sectors,349211,,3.53307e+06,sectors,3.53307e+06,,0,0,0,0,0,0,1.65734e+08,1.11748e+07,196882,0,0,0.563791,1.32522e+08,1.13058e+08,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.004875,47.5401,197.628,78.3325,,33,0,0,4.32538e+06,,achieved_occupancy_pct,l2_native_derived_hit_rate_disagree;l2_read_sector_conservation_failed,results/ncu/rtx3090_l2_persisting_crosscheck_20260713/global_addr_only_l2_W16_B16_LR4_raw_metrics.csv,global_address_control,accepted,pass,,,,11.859,,0,,,,,,,,,,0.000246601
l2_cg_load_only_W16_B16_LR4,l2_cg_load_only,global_cg_load_only_kernel,16,16,82,100000,1,4,1,application,none,4,persisting,ok,0,0,sass,0,0,0,0,0,0,6e-06,global_load_lookup_hit_miss,99.9977,99.9977,99.9542,0.0434927,99.9542,srcunit_tex_read_lookup_hit_miss,1.67936e+10,sectors,1.67936e+10,,1.6794e+10,sectors,1.6794e+10,,7.71095e+06,sectors,7.71095e+06,,0,0,5.37395e+11,5.37395e+11,0,5.37395e+11,5.37727e+11,5.37407e+11,1.67936e+10,394369,1.26198e+07,1,2.67044e+08,2.4675e+08,19.5526,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,869.303,52.5797,308.842,14.7706,,36,0,0,4.32538e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_l2_persisting_crosscheck_20260713/l2_cg_load_only_W16_B16_LR4_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00002,0.000496912,0,0.999978,,,,,,,,,,
