profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,pair_energy_basis,ncu_control_acceptance_required,ncu_control_acceptance_exact,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,pair_start_distance_ms,pair_completion_distance_ms,pair_transition_gap_ms,pair_transition_gap_limit_ms,pair_timing_source,pair_execution_order,numerator_measurement_start_epoch_ms,numerator_measurement_end_epoch_ms,control_measurement_start_epoch_ms,control_measurement_end_epoch_ms,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_ITER,control_ITER,iter_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_measurement_scope,control_measurement_scope,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,numerator_power_state_status,control_power_state_status,numerator_power_state_reasons,control_power_state_reasons,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,8,8,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,global_l1_load_only,global_addr_only,global_l1_load_only_1784001697331_r0,global_addr_only_1784001687055_r0,10276,10276.0,10276.0,5303.0,30000.0,exact_epoch_interval,control_then_treatment,1784001692350.0,1784001697325.0,1784001682552.0,1784001687047.0,4.975053799,4.495340728,1.106713395051909,1692455,1692455,1.0,1018.15342645,911.768624181,202.82525382378532,911.768624181,106.38480226900003,0.10448798727705744,expected_l1_bytes,18190337094500.0,0.9999996278344131,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,5.848423903104377,pJ/byte,0.7310529878880472,True,,results/raw/rtx3090_pairv2b_20260714_l1.csv
rtx3090,0,1,8,8,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,global_l1_load_only,global_addr_only,global_l1_load_only_1784001725486_r0,global_addr_only_1784001733075_r0,7589,7589.0,7589.0,3036.0,30000.0,exact_epoch_interval,treatment_then_control,1784001720472.0,1784001725479.0,1784001728515.0,1784001733065.0,5.006812528,4.550490754,1.1002796838118793,1692455,1692455,1.0,998.887962494,919.134621517,201.98582333324305,919.134621517,79.753340977,0.07984212841836008,expected_l1_bytes,18190337094500.0,0.9999996278344131,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,4.38437949570017,pJ/byte,0.5480474369625212,True,,results/raw/rtx3090_pairv2b_20260714_l1.csv
rtx3090,0,1,8,8,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,global_l1_load_only,global_addr_only,global_l1_load_only_1784001771100_r0,global_addr_only_1784001760805_r0,10295,10295.0,10295.0,3064.0,30000.0,exact_epoch_interval,control_then_treatment,1784001766107.0,1784001771094.0,1784001758426.0,1784001763043.0,4.98729791,4.616572401,1.0803031939712884,1692455,1692455,1.0,968.182265886,922.439419406,199.81045227541316,922.439419406,45.742846480000026,0.0472461106671273,expected_l1_bytes,18190337094500.0,0.9999996278344131,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.5146783285193077,pJ/byte,0.31433479106491347,True,,results/raw/rtx3090_pairv2b_20260714_l1.csv
rtx3090,0,1,8,8,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,global_l1_load_only,global_addr_only,global_l1_load_only_1784001855226_r0,global_addr_only_1784001865115_r0,9889,9889.0,9889.0,5327.0,30000.0,exact_epoch_interval,treatment_then_control,1784001850236.0,1784001855220.0,1784001860547.0,1784001865107.0,4.984292851,4.560265794,1.0929829698869522,1692455,1692455,1.0,997.441816185,922.563679482,202.30480440324965,922.563679482,74.878136703,0.07507018002252275,expected_l1_bytes,18190337094500.0,0.9999996278344131,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,4.116368834398348,pJ/byte,0.5145461042997935,True,,results/raw/rtx3090_pairv2b_20260714_l1.csv
rtx3090,0,1,8,8,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_global_addr_only,nearest-control,matched_iters_net_energy,True,True,global_l1_load_only,global_addr_only,global_l1_load_only_1784001903189_r0,global_addr_only_1784001892869_r0,10320,10320.0,10320.0,5321.0,30000.0,exact_epoch_interval,control_then_treatment,1784001898184.0,1784001903184.0,1784001888272.0,1784001892863.0,5.000258344,4.5906144,1.0892351019506235,1692455,1692455,1.0,985.891944143,917.750062238,199.91878695758027,917.750062238,68.14188190499999,0.06911698823569681,expected_l1_bytes,18190337094500.0,0.9999996278344131,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,3.746048330550359,pJ/byte,0.4682560413187949,True,,results/raw/rtx3090_pairv2b_20260714_l1.csv
rtx3090,0,1,64,8,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_shared_scalar_addr_only,nearest-control,matched_iters_net_energy,True,True,shared_scalar_load_only,shared_scalar_addr_only,shared_scalar_load_only_1784001347844_r0,shared_scalar_addr_only_1784001337527_r0,10317,10317.0,10317.0,3030.0,30000.0,exact_epoch_interval,control_then_treatment,1784001342838.0,1784001347838.0,1784001334981.0,1784001339808.0,4.999808666,4.826528484,1.0359016180209908,7307660,7307660,1.0,964.217608098,861.896545672,178.57483873330438,861.896545672,102.32106242600003,0.10611822639065562,expected_shared_bytes,19635536266800.0,1.0000014886623476,ncu_actual_exact,268698000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,caution,,,5.211014409573611,pJ/byte,0.6513768011967014,True,,results/raw/rtx3090_pairv2b_20260714_shared.csv
rtx3090,0,1,64,8,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_shared_scalar_addr_only,nearest-control,matched_iters_net_energy,True,True,shared_scalar_load_only,shared_scalar_addr_only,shared_scalar_load_only_1784001435660_r0,shared_scalar_addr_only_1784001445806_r0,10146,10146.0,10146.0,5284.0,30000.0,exact_epoch_interval,treatment_then_control,1784001430588.0,1784001435655.0,1784001440939.0,1784001445800.0,5.066845241,4.861262,1.0422900968925353,7307660,7307660,1.0,963.412800085,871.913079552,179.35940904892598,871.913079552,91.49972053299996,0.09497457426860752,expected_shared_bytes,19635536266800.0,1.0000014886623476,ncu_actual_exact,268698000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,4.659904333130375,pJ/byte,0.5824880416412969,True,,results/raw/rtx3090_pairv2b_20260714_shared.csv
rtx3090,0,1,64,8,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_shared_scalar_addr_only,nearest-control,matched_iters_net_energy,True,True,shared_scalar_load_only,shared_scalar_addr_only,shared_scalar_load_only_1784001484374_r0,shared_scalar_addr_only_1784001474045_r0,10329,10329.0,10329.0,5274.0,30000.0,exact_epoch_interval,control_then_treatment,1784001479310.0,1784001484369.0,1784001469147.0,1784001474036.0,5.059201291,4.889157082,1.0347798620801196,7307660,7307660,1.0,988.073695317,855.174213483,174.9124029234862,855.174213483,132.89948183399997,0.13450361290243876,expected_shared_bytes,19635536266800.0,1.0000014886623476,ncu_actual_exact,268698000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,6.768314347426712,pJ/byte,0.846039293428339,True,,results/raw/rtx3090_pairv2b_20260714_shared.csv
rtx3090,0,1,64,8,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_shared_scalar_addr_only,nearest-control,matched_iters_net_energy,True,True,shared_scalar_load_only,shared_scalar_addr_only,shared_scalar_load_only_1784001514263_r0,shared_scalar_addr_only_1784001522178_r0,7915,7915.0,7915.0,3024.0,30000.0,exact_epoch_interval,treatment_then_control,1784001509197.0,1784001514256.0,1784001517280.0,1784001522172.0,5.058892394,4.892357131,1.034039882727441,7307660,7307660,1.0,971.712461283,840.914568788,171.88331642013975,840.914568788,130.79789249500004,0.1346055522662549,expected_shared_bytes,19635536266800.0,1.0000014886623476,ncu_actual_exact,268698000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,6.661284454764533,pJ/byte,0.8326605568455666,True,,results/raw/rtx3090_pairv2b_20260714_shared.csv
rtx3090,0,1,64,8,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_shared_scalar_addr_only,nearest-control,matched_iters_net_energy,True,True,shared_scalar_load_only,shared_scalar_addr_only,shared_scalar_load_only_1784001619988_r0,shared_scalar_addr_only_1784001609622_r0,10366,10366.0,10366.0,3013.0,30000.0,exact_epoch_interval,control_then_treatment,1784001614947.0,1784001619983.0,1784001607118.0,1784001611934.0,5.035986434,4.816006416,1.0456768531846574,7307660,7307660,1.0,975.170974799,834.803554989,173.33937766685068,834.803554989,140.36741981,0.14394134304390285,expected_shared_bytes,19635536266800.0,1.0000014886623476,ncu_actual_exact,268698000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,7.148642028551821,pJ/byte,0.8935802535689776,True,,results/raw/rtx3090_pairv2b_20260714_shared.csv
