mode,W_SM_KiB,blocks_per_SM,active_SM,load_repeat,component,accepted,reason,net_E_J,elapsed_s,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,expected_shared_bytes,ncu_shared_accesses,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct
clocked_empty,8192,16,82,1,reject,false,elapsed_too_short,-5.42583023483,0.037483109,,,0,0,0,0,,,,
dram_load_only,8192,16,82,1,dram_streaming_path,true,accepted,180.544035299,0.793760706,49.9995,0.232827,1.34349e+12,678875000000,677450000000,0,,1153.79,57.1303,186.467
clocked_empty,8192,16,82,2,reject,false,elapsed_too_short,-8.67043238775,0.059352313,,,0,0,0,0,,,,
dram_load_only,8192,16,82,2,dram_streaming_path,true,accepted,354.4041381,1.583951563,49.9996,0.380448,2.686975e+12,1.352955e+12,1.35127e+12,0,,1286.75,61.9263,160.012
clocked_empty,8192,16,82,4,reject,false,elapsed_too_short,1.92482273644,0.068688916,,,0,0,0,0,,,,
dram_load_only,8192,16,82,4,dram_streaming_path,true,accepted,723.91023055,3.081158498,49.9997,0.173057,5.37395e+12,2.696505e+12,2.69486e+12,0,,1355.29,65.1031,152.772
clocked_empty,8192,16,82,8,reject,false,elapsed_too_short,6.35143750139,0.108631748,,,0,0,0,0,,,,
dram_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1505.42381214,6.166662547,49.9997,0.198869,1.07479e+13,5.39885e+12,5.39535e+12,0,,1407.74,66.8501,148.819
clocked_empty,8192,16,82,16,reject,false,missing_ncu_join,32.6430948212,0.183448543,,,0,0,0,0,,,,
dram_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2838.07240088,12.706413826,49.9997,0.162613,2.14958e+13,1.078125e+13,1.07748e+13,0,,1422.35,67.781,146.816
clocked_empty,16,16,82,1,reject,false,elapsed_too_short,6.62995793015,0.040126423,,,0,0,0,0,,,,
shared_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,8.21144578991,0.209992122,26.8619,54.425,0,478783750,353830000,671744000000,10921687500,0.000891,89.7858,194.186
l2_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,25.8138582898,0.197401815,99.999,54.3239,1.3434875e+12,423838750,323591250,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,2,reject,false,elapsed_too_short,-8.84682752862,0.060491536,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,64.6160201009,0.376790364,99.9988,40.1891,2.686975e+12,1210425000,1012020000,0,,13.3754,44.2146,201.369
shared_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,50.6014745965,0.347729463,26.8619,54.425,0,957567500,707660000,1343488000000,21843375000,0.000891,89.7858,194.186
l2_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,54.0651104471,0.364032168,99.999,54.3239,2.686975e+12,847677500,647182500,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,4,reject,false,elapsed_too_short,-10.8298641274,0.072318014,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,129.105783964,0.720915147,99.999,55.6124,5.37395e+12,1753250000,1356845000,0,,17.4286,52.7454,210.023
shared_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,134.482712944,0.669767792,26.8619,54.425,0,1915135000,1415320000,2686976000000,43686750000,0.000891,89.7858,194.186
l2_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,137.292393728,0.6821301,99.999,54.3239,5.37395e+12,1695355000,1294365000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,8,reject,false,elapsed_too_short,-4.03758150424,0.111861601,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,272.012032008,1.367992926,99.9992,42.928,1.07479e+13,4415865000,3608115000,0,,18.5925,55.275,211.504
