profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,numerator_mode,control_mode,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,denominator_column,denominator,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,64,16,82,1,16,1,l2_hit_cg_path,l2_cg_load_only_minus_clocked_empty,l2_cg_load_only,clocked_empty,3.409094057,3.436809133,1.0081297481197657,734.050013736,691.51007311,201.2070052043824,685.9336056690281,48.11640806697187,expected_l2_bytes,7948526419968.0,6.053500425700992,pJ/byte,0.756687553212624,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,2048,16,82,1,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.290336294,3.189970573,1.031462898701793,405.569425072,608.113931656,190.63308508332122,627.2469586868418,-221.67753361484182,expected_reg_operand_ops,31856072416.0,-6958.721424286513,pJ/reg-op,-0.8494532988630997,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,2,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.273596352,3.232541089,1.0127006159766094,260.802604545,609.587207365,188.578332210335,617.3293403899968,-356.5267358449968,expected_reg_operand_ops,19807723200.0,-17999.37995119988,pJ/reg-op,-2.197189935449204,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,4,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.135722154,3.219645206,1.0267635485155933,289.763415589,587.907086682,182.5999602646901,572.5827407215086,-282.8193251325086,expected_reg_operand_ops,30563601536.0,-9253.46853509341,pJ/reg-op,-1.1295737957877698,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,8,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.281646606,3.251698619,1.0092099516311293,278.825442534,597.897551369,183.87237607920514,603.4041588974791,-324.5787163634791,expected_reg_operand_ops,31541697536.0,-10290.464423895459,pJ/reg-op,-1.2561602079950511,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,16,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.339340372,3.187461974,1.047648693298576,286.899964345,607.75783156,190.67139828410703,636.7166980758102,-349.8167337308102,expected_reg_operand_ops,32023568896.0,-10923.727298068427,pJ/reg-op,-1.3334628049399935,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,32,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.25087614,3.294515554,1.0134238931662283,262.946671987,581.619291998,176.54167432654347,573.9151167838107,-310.96844479681073,expected_reg_operand_ops,31289625600.0,-9938.388166485787,pJ/reg-op,-1.213182149229222,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,64,1,1,register_operand_control,reg_operand_only_minus_clocked_empty,reg_operand_only,clocked_empty,3.292755436,3.254077394,1.011886023999096,259.724825501,609.400639092,187.27293954828414,616.6439897133121,-356.91916421231207,expected_reg_operand_ops,31732850688.0,-11247.623723489914,pJ/reg-op,-1.3730009428088275,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,16,16,82,1,1,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,shared_scalar_load_only,clocked_empty,3.417184228,2.819296881,1.2120696656777523,694.30823125,538.922076016,191.15478034539066,653.2111005030733,41.09713074692661,expected_shared_bytes,18400818724864.0,2.233440335532155,pJ/byte,0.27918004194151935,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,16,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,shared_scalar_load_only,clocked_empty,3.282468051,3.312322596,1.0090951517383102,679.793201174,633.279766014,191.18903659285968,627.5719043175318,52.22129685646826,expected_shared_bytes,19965118382080.0,2.615626707394848,pJ/byte,0.326953338424356,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
