mode,W_SM_KiB,blocks_per_SM,repeats,pJ_per_FLOP_median,pJ_per_FLOP_min,pJ_per_FLOP_max,pJ_per_FLOP_stdev,net_E_J_median,elapsed_s_median,ITER_median,temp_C_median,temp_C_max,smid_histogram_ok_all,profile_name,regime,expected_shared_GiB_median,expected_l2_GiB_median,expected_dram_GiB_median,expected_store_MiB_median
reg_mma,32,1,5,7.8433820279,7.39534339453,7.96965313858,0.22002408993810893,776.727665518,9.691563916,147421766.0,56.0,58.0,True,rtx3090,shared_resident,0.0,0.0,0.0,0.080078125
reg_mma,32,2,5,4.53677530918,4.24953007337,4.62306464683,0.14441492255984148,995.585174443,10.879385296,163341808.0,62.0,64.0,True,rtx3090,shared_resident,0.0,0.0,0.0,0.16015625
reg_mma,32,4,5,3.16905699416,2.99835891169,3.201081388,0.08404696227833804,1386.94549034,10.939184366,162879173.0,69.0,71.0,True,rtx3090,shared_resident,0.0,0.0,0.0,0.3203125
reg_mma,32,8,5,2.46009053466,2.29907986728,2.50919909335,0.08596651762431529,1906.42396092,11.185459608,144203106.0,77.0,79.0,True,rtx3090,shared_resident,0.0,0.0,0.0,0.640625
reg_mma,32,16,5,2.53880412341,2.43135689656,2.57292093535,0.057125090310028236,1719.30669819,10.508559763,63008680.0,74.0,75.0,True,rtx3090,shared_resident,0.0,0.0,0.0,1.28125
shared_mma,64,1,5,28.511900932,27.2304346642,29.2284499776,0.7547260066649755,835.203880206,10.972443264,43607635.0,67.0,67.0,True,rtx3090,shared_resident,3410.1734828948975,0.0,0.0,0.080078125
shared_mma,64,2,5,17.7641295664,17.0364920333,18.0508118682,0.3940716238352204,1040.04694147,10.959667308,43578795.0,69.0,70.0,True,rtx3090,shared_resident,6815.836315155029,0.0,0.0,0.16015625
shared_mma,64,4,5,12.2813475317,11.6438562063,12.4596243879,0.3281415341282009,1449.22807312,11.206876597,43916420.0,74.0,75.0,True,rtx3090,shared_resident,13737.283477783203,0.0,0.0,0.3203125
shared_mma,64,8,5,9.937830536,9.25529700327,10.0190762227,0.3192002231803051,2143.31044005,11.000302674,40132823.0,81.0,82.0,True,rtx3090,shared_resident,25107.509506225586,0.0,0.0,0.640625
shared_mma,64,16,5,6.71258928268,6.58567462621,6.94424950587,0.15865416146738093,2239.43392394,11.290722149,31040192.0,82.0,83.0,True,rtx3090,shared_resident,38838.130859375,0.0,0.0,1.28125
l2_mma,64,1,5,36.9081099682,35.0337754686,36.9325700306,0.8359661014641687,857.139557157,10.826426276,34572114.0,68.0,68.0,True,rtx3090,shared_resident,0.0,2703.5840492248535,0.0,0.080078125
l2_mma,64,2,5,24.0694542418,22.997253242,24.3012157064,0.5176244182173646,1113.96099699,10.79255632,34448471.0,70.0,71.0,True,rtx3090,shared_resident,0.0,5387.8300132751465,0.0,0.16015625
l2_mma,64,4,5,14.7391563461,14.199502103,15.0330900373,0.3147494926453589,1393.21233381,11.101340764,35178790.0,75.0,75.0,True,rtx3090,shared_resident,0.0,11004.10758972168,0.0,0.3203125
l2_mma,64,8,5,13.3137314637,12.4347212203,13.5623841835,0.4431145420616143,1944.07167657,11.130815105,27171818.0,73.0,73.0,True,rtx3090,shared_resident,0.0,16998.970611572266,0.0,0.640625
l2_mma,64,16,5,9.19417131118,8.95176669373,9.30201039671,0.1385996001495337,2351.32332018,11.264574242,23794467.0,76.0,77.0,True,rtx3090,shared_resident,0.0,29772.12973022461,0.0,1.28125
dram_mma,8192,1,5,111.449158413,108.19671792,112.526331137,1.7085346537108839,1156.08835817,10.971281015,15442245.0,71.0,72.0,True,rtx3090,dram_mixed_streaming,0.0,0.0,1207.6035404205322,0.080078125
dram_mma,8192,2,5,78.3650823928,75.9522913083,79.0247906698,1.2325943070187437,1589.34091993,10.997604272,15095958.0,76.0,76.0,True,rtx3090,dram_mixed_streaming,0.0,0.0,2361.0468978881836,0.16015625
dram_mma,8192,4,5,57.4059988529,54.881773212,58.5199499396,1.4142540763709146,2303.67589443,11.155602985,14934831.0,82.0,82.0,True,rtx3090,dram_mixed_streaming,0.0,0.0,4671.692436218262,0.3203125
dram_mma,8192,8,5,39.1325129748,38.6839287284,41.3595346728,1.1105845068292535,2576.55255462,10.996978007,12252014.0,82.0,83.0,True,rtx3090,dram_mixed_streaming,0.0,0.0,7664.986785888672,0.640625
dram_mma,8192,16,5,36.5671383924,36.229983176,38.9561904962,1.1818982764789168,2592.30708267,10.899399799,6595864.0,83.0,84.0,True,rtx3090,dram_mixed_streaming,0.0,0.0,8252.881591796875,1.28125
