component,status,total_rows,valid_rows,invalid_rows,invalid_reason_counts,invalid_coordinates,valid_delta_E_min_J,valid_delta_E_median_J,valid_delta_E_max_J,invalid_delta_E_min_J,invalid_delta_E_median_J,invalid_delta_E_max_J,valid_signal_fraction_min,valid_signal_fraction_median,valid_signal_fraction_max,invalid_signal_fraction_min,invalid_signal_fraction_median,invalid_signal_fraction_max,valid_coefficient_min,valid_coefficient_median,valid_coefficient_max,recommendation
dram_cg_stream_path,stable_detail_rows,9,9,0,,,164.599532967,209.659293028,318.276587211,,,,0.0817911155543,0.0997722064622,0.1493659922,,,,2.85691576152,3.54069776975,5.35305665938,no_followup_required_by_detail_rows
global_l1_hit_path,needs_stability_followup,9,7,2,delta_E<10J:1;delta_fraction<0.005:1;negative_coefficient:1,"W=16KiB,B/SM=16,RF=1,LR=4,delta_E=2.859J,frac=0.001546 | W=16KiB,B/SM=16,RF=1,LR=16,delta_E=-42.33J,frac=-0.02186",15.3229183963,78.2646016398,143.816534397,-42.3327608877,-19.73688395,2.85899298767,0.00801099715583,0.0408751286748,0.073208287174,-0.0218603117851,-0.0101571641034,0.00154598357817,0.0272747462442,0.150450885901,0.259655353929,targeted_stability_rerun;use_longer_seconds_20_to_30;increase_repeats_10_or_more;keep_power_api_audit;inspect_control_drift_and_temperature_clock;do_not_relax_delta_gate
l2_hit_cg_path,stable_detail_rows,9,9,0,,,86.6867625419,186.111215907,342.046449512,,,,0.0429635982707,0.0917771420496,0.16841212249,,,,0.544486879991,1.1381074518,2.15243607925,no_followup_required_by_detail_rows
shared_l1_scalar_path,needs_stability_followup,9,6,3,delta_E<10J:1;delta_fraction<0.005:1;negative_coefficient:2,"W=64KiB,B/SM=16,RF=1,LR=8,delta_E=-14.97J,frac=-0.007943 | W=64KiB,B/SM=16,RF=1,LR=16,delta_E=-18.37J,frac=-0.009438 | W=64KiB,B/SM=16,RF=1,LR=16,delta_E=2.268J,frac=0.001165",23.2379590111,62.9550294596,135.429690073,-18.3724635194,-14.9672786061,2.26807282823,0.0115571665795,0.0328812976807,0.0672732397379,-0.00943837035687,-0.00794293071285,0.0011650422673,0.0525522320442,0.151125742676,0.315962548035,targeted_stability_rerun;use_longer_seconds_20_to_30;increase_repeats_10_or_more;keep_power_api_audit;inspect_control_drift_and_temperature_clock;do_not_relax_delta_gate
tensor_mma_increment,stable_detail_rows,15,15,0,,,30.0216227602,110.448654153,231.326278346,,,,0.0254139024059,0.113099274341,0.210860713681,,,,0.0541609645145,0.169744684821,0.35977328325,no_followup_required_by_detail_rows
