feature,source_column,coefficient_J_per_unit,estimate,unit,scale,constrained,unconstrained_estimate,nonzero_modes,warning
intercept,,9.6990354248926,9.6990354248926,J,1.0,False,-290.2756047507899,,
elapsed_s,elapsed_s,166.87803274893065,166.87803274893065,W,3.295875463,True,261.1050662823751,"dram_load_only,dram_mma,empty,l2_load_only,l2_mma,reg_mma,reg_operand_only,shared_load_only,shared_mma,store_only",
FLOP,FLOP,0.0,0.0,pJ/FLOP,173682560335872.0,True,-0.3135764126169317,"dram_mma,l2_mma,reg_mma,shared_mma",unconstrained_negative;zero_bound_or_not_identified
reg_operand_ops,expected_reg_operand_ops,0.0,0.0,pJ/reg-op,29107877840.0,True,-10551.303464227236,"reg_mma,reg_operand_only",unconstrained_negative;zero_bound_or_not_identified
shared_bytes_static,expected_shared_bytes,1.8651020420385213e-12,1.8651020420385214,pJ/byte,12879749414912.0,True,1.2266779985758036,"shared_load_only,shared_mma",static_byte
l2_bytes_static,expected_l2_bytes,3.786402921239925e-12,3.7864029212399246,pJ/byte,10058016866304.0,True,2.5091088993266326,"l2_load_only,l2_mma",static_byte
dram_bytes_static,expected_dram_bytes,0.0,0.0,pJ/byte,2780650029056.0,True,-3.4667427476677286,"dram_load_only,dram_mma",unconstrained_negative;zero_bound_or_not_identified;static_byte
store_bytes_static,expected_store_bytes,1.4398669924154989e-08,14398.669924154989,pJ/byte,1343488.0,True,13754.384298399387,"dram_load_only,dram_mma,empty,l2_load_only,l2_mma,reg_mma,reg_operand_only,shared_load_only,shared_mma,store_only",static_byte
baseline_mode_dram_load_only,mode,150.56669125549908,150.56669125549908,J,1.0,False,148.16365635056627,dram_load_only,
baseline_mode_dram_mma,mode,143.52740109130156,143.52740109130156,J,1.0,False,162.0725917708854,dram_mma,
baseline_mode_l2_load_only,mode,-6.268119027498051,-6.268119027498051,J,1.0,False,-11.596385847840292,l2_load_only,
baseline_mode_l2_mma,mode,-7.500704514802401,-7.500704514802401,J,1.0,False,29.888325187987046,l2_mma,
baseline_mode_reg_mma,mode,-209.87826728036035,-209.87826728036035,J,1.0,False,143.87538454063497,reg_mma,
baseline_mode_reg_operand_only,mode,-261.33700578247675,-261.33700578247675,J,1.0,False,41.681021134586146,reg_operand_only,
baseline_mode_shared_load_only,mode,33.91169789653665,33.91169789653665,J,1.0,False,27.259930891923638,shared_load_only,
baseline_mode_shared_mma,mode,-50.0617824357352,-50.0617824357352,J,1.0,False,-8.379938654957908,shared_mma,
baseline_mode_store_only,mode,-1780.5589470603868,-1780.5589470603868,J,1.0,False,-1714.6480910900625,store_only,
