component,factor,factor_value,valid_rows,total_rows,invalid_rows,invalid_diagnostics,unit,median,min,max,stdev,median_pJ_per_bit,min_pJ_per_bit,max_pJ_per_bit,delta_E_median_J,signal_fraction_median,denominator_median
shared_l1_scalar_path,load_repeat,4,4,4,0,,pJ/byte,1.59276188001,1.46880470027,1.69988644436,0.106338907758,0.199095235002,0.183600587534,0.212485805545,293.094116966,0.0322672534748,1.82822809886e+14
shared_l1_scalar_path,load_repeat,8,4,4,0,,pJ/byte,1.16048530239,1.11563122535,1.19942269245,0.0458642739995,0.145060662799,0.139453903169,0.149927836556,215.699968446,0.0241763420666,1.85307084848e+14
shared_l1_scalar_path,load_repeat,16,4,4,0,,pJ/byte,0.49414544396,0.277704884574,0.720215308886,0.181193833218,0.061768180495,0.0347131105718,0.0900269136108,94.6968495265,0.010506833962,1.90548180724e+14
