mode,regime,W_SM_KiB,blocks_per_SM,active_SM,ITER,elapsed_s,net_E_J,pJ_per_FLOP,pJ_per_input_bit,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C
idle,shared_resident,1,1,82,0,1.002974557,0,0,0,false,210,405,44
empty,shared_resident,1,1,82,864990469,1.0007225,50.0806344981,0,0,true,1950,9501,53
empty,shared_resident,2,1,82,968685810,1.134297627,26.0262243513,0,0,true,1965,9501,54
empty,shared_resident,2,2,82,971563501,1.095406721,41.5331821586,0,0,true,1965,9501,56
empty,shared_resident,4,1,82,975267745,1.104640888,28.7743105187,0,0,true,1965,9501,55
empty,shared_resident,4,2,82,972932635,1.067558861,35.5292620596,0,0,true,1965,9501,56
empty,shared_resident,4,4,82,1017079342,1.132942636,72.878790501,0,0,true,1965,9501,59
empty,shared_resident,8,1,82,982645474,1.094062376,31.874258754,0,0,true,1965,9501,56
empty,shared_resident,8,2,82,984549240,1.100850116,43.1789847878,0,0,true,1965,9501,57
empty,shared_resident,8,4,82,982667841,1.10067215,69.1327086408,0,0,true,1965,9501,59
empty,shared_resident,8,8,82,941098172,1.12511364,130.614814944,0,0,true,1950,9501,62
empty,shared_resident,16,1,82,966273536,1.131311013,28.3939835449,0,0,true,1950,9501,57
empty,shared_resident,16,2,82,981707810,1.111878623,56.9946728259,0,0,true,1950,9501,58
empty,shared_resident,16,4,82,971461748,1.103712842,77.948672081,0,0,true,1950,9501,60
empty,shared_resident,16,8,82,907600013,1.085548494,126.119627931,0,0,true,1950,9501,63
empty,shared_resident,16,16,82,659456301,1.080794647,156.948639649,0,0,true,1935,9501,67
empty,shared_resident,32,1,82,963464912,1.095987622,27.456421703,0,0,true,1950,9501,58
empty,shared_resident,32,2,82,967571952,1.101252649,40.0436922184,0,0,true,1950,9501,59
empty,shared_resident,32,4,82,934657738,1.059966338,75.5424904091,0,0,true,1950,9501,61
empty,shared_resident,32,8,82,957523773,1.118657415,145.001129737,0,0,true,1935,9501,64
empty,shared_resident,32,16,82,675773032,1.078240627,146.239831124,0,0,true,1935,9501,67
empty,shared_resident,64,1,82,978866164,1.097923539,31.6373702608,0,0,true,1950,9501,59
empty,shared_resident,64,2,82,975132479,1.098496078,41.4045750135,0,0,true,1950,9501,60
empty,shared_resident,64,4,82,971939462,1.159675594,46.3865398216,0,0,true,1950,9501,61
empty,shared_resident,64,8,82,909746591,1.10753512,123.072537933,0,0,true,1935,9501,65
empty,shared_resident,64,16,82,598615620,0.965937135,153.992119484,0,0,true,1935,9501,68
empty,dram_mixed_streaming,128,1,82,972280343,1.10635893,28.8510035487,0,0,true,1950,9501,60
empty,dram_mixed_streaming,128,2,82,963821894,1.101247663,41.7492285966,0,0,true,1950,9501,60
empty,dram_mixed_streaming,128,4,82,990607095,1.177666634,74.7872251454,0,0,true,1950,9501,62
empty,dram_mixed_streaming,128,8,82,905418005,1.094529797,131.818250379,0,0,true,1935,9501,65
empty,dram_mixed_streaming,128,16,82,653557546,1.060145971,149.62434871,0,0,true,1935,9501,69
empty,dram_mixed_streaming,256,1,82,966804255,1.109935635,30.7846101492,0,0,true,1950,9501,60
