target_tag,session_id,session_index,implementation_position,implementation,matched_block,orientation_order,forward_incremental_pJ_per_element,reverse_incremental_pJ_per_element,order_balanced_incremental_pJ_per_element,middle_position_bias_pJ_per_element,incremental_pJ_per_ptx_ex2_instruction,logical_added_results_equals_elements,logical_added_results,added_ptx_ex2_instructions,max_temperature_span_C,quality_status,matched_source
targeted_g48s1024_confirm_v1_20260725,session02_g48_s1024,2,2,fp32,2,F-R,58.79603986600475,112.95983275478375,85.87793631039425,-27.0818964443895,not_applicable,true,605006168064,not_applicable,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session02_g48_s1024,2,3,ptx_f16,0,F-R,20.170352379797983,33.90884612747952,27.03959925363875,-6.869246873840769,27.03959925363875,true,741195792384,741195792384,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess02_pos3_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session02_g48_s1024,2,3,ptx_f16,1,R-F,-11.738693134684267,41.3695264421731,14.815416653744414,-26.554109788428683,14.815416653744414,true,741195792384,741195792384,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess02_pos3_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session02_g48_s1024,2,3,ptx_f16,2,F-R,15.455174739949978,52.25478710188744,33.854980920918706,-18.39980618096873,33.854980920918706,true,741195792384,741195792384,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess02_pos3_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,1,ptx_f16,0,F-R,-26.590732137402714,38.26249628174997,5.835882072173627,-32.42661420957634,5.835882072173627,true,747039916032,747039916032,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,1,ptx_f16,1,R-F,11.566723310996645,-33.051822962349775,-10.742549825676566,22.30927313667321,-10.742549825676566,true,747039916032,747039916032,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,1,ptx_f16,2,F-R,85.80668171205853,15.076151341727604,50.44141652689307,35.36526518516546,50.44141652689307,true,747039916032,747039916032,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,2,ptx_f16x2,0,F-R,1.6447624515870687,51.72880001683084,26.686781234208954,-25.042018782621884,53.37356246841791,true,741441847296,370720923648,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos2_ptx_f16x2_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,2,ptx_f16x2,1,R-F,90.6035736674429,-45.67606722777089,22.463753219836004,68.1398204476069,44.92750643967201,true,741441847296,370720923648,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos2_ptx_f16x2_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,2,ptx_f16x2,2,F-R,66.68175648616472,23.210201062589277,44.945978774377,21.73577771178772,89.891957548754,true,741441847296,370720923648,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos2_ptx_f16x2_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,3,fp32,0,F-R,110.53538426922054,97.95572241160664,104.2455533404136,6.28983092880695,not_applicable,true,605507862528,not_applicable,1.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,3,fp32,1,R-F,75.84592861636125,102.70079015567754,89.2733593860194,-13.427430769658145,not_applicable,true,605507862528,not_applicable,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session03_g48_s1024,3,3,fp32,2,F-R,35.636454984893604,82.89516006289136,59.265807523892484,-23.62935253899888,not_applicable,true,605507862528,not_applicable,1.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_matched.csv
