pair_id,pair_index,orientation,role_order,profile_name,cuda_pci_bus_id,cuda_binary_arch,grid_blocks,ITER,n_elements,exp_impl,exp_ptx_instruction,exp_results_per_ptx_instruction,bracket_context_id,smid_set,smid_histogram,special_function_path,xu_documented_results_per_sm_cycle,sfu_regime_evidence_status,interpolation_weight,outer_before_power_W,middle_power_W,outer_after_power_W,treatment_minus_control_power_W,logical_scalar_exponent_results,ptx_ex2_instructions,primary_denominator,treatment_seconds_per_operand,treatment_seconds_per_logical_scalar_exponent_result,treatment_seconds_per_ptx_ex2_instruction,effect_pJ_per_operand,effect_pJ_per_logical_scalar_exponent_result,effect_pJ_per_ptx_ex2_instruction,residual_mbb_ci_low_pJ_per_operand,residual_mbb_ci_high_pJ_per_operand,residual_mbb_ci_low_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_high_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_low_pJ_per_ptx_ex2_instruction,residual_mbb_ci_high_pJ_per_ptx_ex2_instruction,triplet_ci_label_diagnostic_only,min_trace_fit_points,min_trace_r2,max_query_latency_s,max_inter_role_gap_s,sm_clock_span_fraction,a100_batch_sm_clock_span_fraction,a100_batch_sm_clock_status,a100_batch_temperature_status,a100_batch_smid_status,temperature_span_C,quality_status,reasons
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,0,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,12308882,605006168064,fp32_fast___expf,ex2.approx.f32,1,pid_452045_started_1784950455288,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.5000671618769921,232.33247816113004,232.5226705544087,229.07473478090873,1.8192828795494904,605006168064,nan,logical_scalar_exponent_result,2.053799438270449e-11,2.053799438270449e-11,nan,37.36442156073789,37.36442156073789,nan,22.339425189037463,58.26657928918287,22.339425189037463,58.26657928918287,nan,nan,positive,20,0.9998935916901227,0.00462664000224,0.012576208,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p01,1,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,12308882,605006168064,fp32_fast___expf,ex2.approx.f32,1,pid_452045_started_1784950455288,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.49998514816416467,236.87487015327838,228.55909481371728,233.30997443940822,6.533380427871947,605006168064,nan,logical_scalar_exponent_result,2.0526625005029613e-11,2.0526625005029613e-11,nan,134.10825005812737,134.10825005812737,nan,112.73959923301445,151.16785240678973,112.73959923301445,151.16785240678973,nan,nan,positive,20,0.9998437993499147,0.005914999987,0.013382876,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p02,2,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,12308882,605006168064,fp32_fast___expf,ex2.approx.f32,1,pid_452045_started_1784950455288,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.5000716790102974,232.35933880129596,229.47627713006858,232.8167249151787,3.1117875131527057,605006168064,nan,logical_scalar_exponent_result,2.0524385824191555e-11,2.0524385824191555e-11,nan,63.86752752284769,63.86752752284769,nan,37.34827174573417,86.94074819795216,37.34827174573417,86.94074819795216,nan,nan,positive,20,0.9997865851015252,0.00508274900494,0.014597341,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p03,3,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,12308882,605006168064,fp32_fast___expf,ex2.approx.f32,1,pid_452045_started_1784950455288,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.4998741521196981,231.71552783836898,233.54832826204353,229.11738776187138,3.1315434915019864,605006168064,nan,logical_scalar_exponent_result,2.052407407007867e-11,2.052407407007867e-11,nan,64.27203057325954,64.27203057325954,nan,38.47947127746017,100.02046136152148,38.47947127746017,100.02046136152148,nan,nan,positive,20,0.9997770033994209,0.00566943999729,0.013711548,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p04,4,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,12308882,605006168064,fp32_fast___expf,ex2.approx.f32,1,pid_452045_started_1784950455288,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.49994199305616543,231.6701134252353,233.45650705396568,229.5138962591572,2.864377136201398,605006168064,nan,logical_scalar_exponent_result,2.0526640547053554e-11,2.0526640547053554e-11,nan,58.79603986600475,58.79603986600475,nan,38.007235218078904,87.23821935227504,38.007235218078904,87.23821935227504,nan,nan,positive,20,0.9998261290014313,0.00497016200097,0.012780298,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess02_pos2_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p05,5,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,12308882,605006168064,fp32_fast___expf,ex2.approx.f32,1,pid_452045_started_1784950455288,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.5000342271660639,236.28159644032286,229.06541702652112,232.85530792224657,5.50291788261751,605006168064,nan,logical_scalar_exponent_result,2.0527261202933568e-11,2.0527261202933568e-11,nan,112.95983275478375,112.95983275478375,nan,95.03066975122114,126.44401358109924,95.03066975122114,126.44401358109924,nan,nan,positive,20,0.9999182448689841,0.00582321599359,0.013297297,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
