component,status,median,unit,rows,valid_detail_rows,invalid_detail_rows,ncu_denominator_rows,ncu_accepted_rows,confidence_class,energy_source,energy_integration_method,measurement_scope,power_semantics,reasons,cautions
tensor_mma_increment,accepted,0.129215538161,pJ/FLOP,6,6,0,0,8,medium,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,,
global_l1_hit_path,accepted,0.17348298164,pJ/bit,6,6,0,6,3,medium,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,,
l2_hit_cg_path,accepted,1.13107277508,pJ/bit,6,6,0,6,3,medium,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,,
shared_l1_scalar_path,accepted,0.170589502631,pJ/bit,6,6,0,6,3,medium,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,,
