profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,pair,numerator_mode,baseline_mode,delta_E_J,denominator,denominator_column,coefficient,coefficient_unit,numerator_rows,baseline_rows
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,861.5799040126,0.0,,861.5799040126,J,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_mma_minus_empty,reg_mma,empty,1044.2138954046,218372181262336.0,FLOP,4.781808238431981,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,-83.17413822000003,218372181262336.0,FLOP,-0.3808824811805165,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_operand_minus_empty,reg_operand_only,empty,1127.3880336246,26656760408.0,expected_reg_operand_ops,42292.76237506557,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,4,82,29255209,8,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,217.62295281270002,0.0,,217.62295281270002,J,3.0,3.0
rtx3090,0,1,32,4,82,29255209,8,1,1,reg_mma_minus_empty,reg_mma,empty,1204.6012956557001,628864355663872.0,FLOP,1.9155184815396973,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,29255209,8,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,256.153225301,628864355663872.0,FLOP,0.4073266722687554,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,29255209,8,1,1,reg_operand_minus_empty,reg_operand_only,empty,948.4480703547,76765668416.0,expected_reg_operand_ops,12355.107301547554,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,4,82,48634898,4,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,392.1259352767,0.0,,392.1259352767,J,3.0,3.0
rtx3090,0,1,32,4,82,48634898,4,1,1,reg_mma_minus_empty,reg_mma,empty,1255.0133533117,522723214753792.0,FLOP,2.400913749168045,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,48634898,4,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,432.91145220400006,522723214753792.0,FLOP,0.8281848595683775,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,48634898,4,1,1,reg_operand_minus_empty,reg_operand_only,empty,822.1019011077001,63808986176.0,expected_reg_operand_ops,12883.79506360048,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,4,82,76430746,2,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,632.9938743939,0.0,,632.9938743939,J,3.0,3.0
rtx3090,0,1,32,4,82,76430746,2,1,1,reg_mma_minus_empty,reg_mma,empty,1154.1395944188998,410735160328192.0,FLOP,2.8099361970781884,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,76430746,2,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,89.10191944999997,410735160328192.0,FLOP,0.21693277823793894,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,76430746,2,1,1,reg_operand_minus_empty,reg_operand_only,empty,1065.0376749688999,50138569376.0,expected_reg_operand_ops,21241.884007139324,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,4,82,163359279,1,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,1386.398710774,0.0,,1386.398710774,J,3.0,3.0
rtx3090,0,1,32,4,82,163359279,1,1,1,reg_mma_minus_empty,reg_mma,empty,1347.362702524,438942462050304.0,FLOP,3.0695656470109025,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,163359279,1,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,-8.656297349999932,438942462050304.0,FLOP,-0.019720801923710667,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,4,82,163359279,1,1,1,reg_operand_minus_empty,reg_operand_only,empty,1356.018999874,53581843512.0,expected_reg_operand_ops,25307.434589672353,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,8,82,19027385,8,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,296.3985683397,0.0,,296.3985683397,J,3.0,3.0
rtx3090,0,1,32,8,82,19027385,8,1,1,reg_mma_minus_empty,reg_mma,empty,1383.7375635567,818018029404160.0,FLOP,1.6915734297013076,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,19027385,8,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,125.60102027000016,818018029404160.0,FLOP,0.1535430953294358,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,19027385,8,1,1,reg_operand_minus_empty,reg_operand_only,empty,1258.1365432866999,99855716480.0,expected_reg_operand_ops,12599.544499174373,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,8,82,36922096,4,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,603.3047063743,0.0,,603.3047063743,J,3.0,3.0
rtx3090,0,1,32,8,82,36922096,4,1,1,reg_mma_minus_empty,reg_mma,empty,1532.3692017533,793670286573568.0,FLOP,1.9307377731990467,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,36922096,4,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,284.14281845000005,793670286573568.0,FLOP,0.3580111581053399,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,36922096,4,1,1,reg_operand_minus_empty,reg_operand_only,empty,1248.2263833033,96883579904.0,expected_reg_operand_ops,12883.776430847647,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,8,82,47266602,2,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,804.9282175291,0.0,,804.9282175291,J,3.0,3.0
rtx3090,0,1,32,8,82,47266602,2,1,1,reg_mma_minus_empty,reg_mma,empty,1306.1133526111,508016900702208.0,FLOP,2.5710037418159133,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,47266602,2,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,138.98299610000004,508016900702208.0,FLOP,0.2735794732574651,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,47266602,2,1,1,reg_operand_minus_empty,reg_operand_only,empty,1167.1303565111,62013781824.0,expected_reg_operand_ops,18820.49960803081,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,8,82,140247772,1,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,2451.6203392162997,0.0,,2451.6203392162997,J,3.0,3.0
rtx3090,0,1,32,8,82,140247772,1,1,1,reg_mma_minus_empty,reg_mma,empty,1768.1715211563,753684794834944.0,FLOP,2.3460358140083315,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,140247772,1,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,118.82540249999988,753684794834944.0,FLOP,0.15765928052989645,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,8,82,140247772,1,1,1,reg_operand_minus_empty,reg_operand_only,empty,1649.3461186563002,92002538432.0,expected_reg_operand_ops,17927.18056225534,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,16,82,9527327,8,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,296.8269759061,0.0,,296.8269759061,J,3.0,3.0
rtx3090,0,1,32,16,82,9527327,8,1,1,reg_mma_minus_empty,reg_mma,empty,1404.9679017951,819190367780864.0,FLOP,1.7150688741629996,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,9527327,8,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,143.75396013,819190367780864.0,FLOP,0.17548297170463634,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,9527327,8,1,1,reg_operand_minus_empty,reg_operand_only,empty,1261.2139416651,99998824192.0,expected_reg_operand_ops,12612.287712938913,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,16,82,18594457,4,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,631.7207171452,0.0,,631.7207171452,J,3.0,3.0
rtx3090,0,1,32,16,82,18594457,4,1,1,reg_mma_minus_empty,reg_mma,empty,1580.3799136802,799405755072512.0,FLOP,1.9769433778179992,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,18594457,4,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,306.78264034999984,799405755072512.0,FLOP,0.38376336222669843,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,18594457,4,1,1,reg_operand_minus_empty,reg_operand_only,empty,1273.5972733302,97583710336.0,expected_reg_operand_ops,13051.330687723934,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,16,82,24728251,2,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,834.343022067,0.0,,834.343022067,J,3.0,3.0
rtx3090,0,1,32,16,82,24728251,2,1,1,reg_mma_minus_empty,reg_mma,empty,1375.372901576,531553735671808.0,FLOP,2.5874578791883103,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,24728251,2,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,121.48697459000005,531553735671808.0,FLOP,0.22855069287860025,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,24728251,2,1,1,reg_operand_minus_empty,reg_operand_only,empty,1253.885926986,64886930624.0,expected_reg_operand_ops,19324.167670249146,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,16,82,64848702,1,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,2283.6402070421,0.0,,2283.6402070421,J,3.0,3.0
rtx3090,0,1,32,16,82,64848702,1,1,1,reg_mma_minus_empty,reg_mma,empty,1648.2223086221002,696987623620608.0,FLOP,2.3647798795338133,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,64848702,1,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,271.71922656000015,696987623620608.0,FLOP,0.38984799349594385,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,16,82,64848702,1,1,1,reg_operand_minus_empty,reg_operand_only,empty,1376.5030820621,85081497024.0,expected_reg_operand_ops,16178.642010422225,pJ/reg-op,3.0,3.0
