contrast,left_implementation,right_implementation,interpretation,session_count,mean_incremental_pJ_per_element,median_incremental_pJ_per_element,sample_sd_incremental_pJ_per_element,min_incremental_pJ_per_element,max_incremental_pJ_per_element,diagnostic_t95_low_incremental_pJ_per_element,diagnostic_t95_high_incremental_pJ_per_element
fp32_minus_ptx_f16,fp32,ptx_f16,within_session_complete_implementation_path_difference_not_pure_opcode_energy,3,62.77130915620021,65.90591886309595,8.333847230107061,53.32468477985955,69.08332382564512,42.06888496714666,83.47373334525376
fp32_minus_ptx_f16x2,fp32,ptx_f16x2,within_session_complete_implementation_path_difference_not_pure_opcode_energy,3,57.10925737386495,57.109684313523516,4.2129749129591385,52.89606900730118,61.32201880077015,46.643647513531505,67.5748672341984
ptx_f16x2_minus_ptx_f16,ptx_f16x2,ptx_f16,within_session_complete_implementation_path_difference_not_pure_opcode_energy,3,5.662051782335258,4.583900062325796,10.029683161687817,-3.78499953366396,16.187254818343938,-19.253062397457732,30.577165962128248
