profile_name,gpu_id,n_gpu_active,reg_payload_bytes_per_block,ptxas_registers_per_thread,compiler_footprint_bytes_per_block,compiler_footprint_bytes_per_sm,spill_free,max_resident_blocks_per_sm_est,blocks_per_SM,active_SM,ITER,reuse_factor,delta_E_J,expected_reg_pressure_ops,pJ_per_reg_update,pressure_rows,empty_rows
rtx3090,0,1,256,21,2688,21504,True,16,8,82,38241286,1,453.10490963782,1605522151424.0,282.2165419741756,3,3
rtx3090,0,1,256,21,2688,21504,True,16,8,82,20417419,4,657.96650081978,3428819677184.0,191.8930018974199,3,3
rtx3090,0,1,256,21,2688,43008,True,16,16,82,29157861,1,678.4434327655799,2448327272448.0,277.1048790741228,3,3
rtx3090,0,1,256,21,2688,43008,True,16,16,82,11485342,4,683.89918854982,3857604788224.0,177.28596528020174,3,3
rtx3090,0,1,512,22,2816,22528,True,16,8,82,31972496,1,574.00444179396,2684666544128.0,213.8084683363911,3,3
rtx3090,0,1,512,22,2816,22528,True,16,8,82,12284781,4,700.08957084686,4126113964032.0,169.67286336481578,3,3
rtx3090,0,1,512,22,2816,45056,True,16,16,82,19817582,1,680.9503470573701,3328085450752.0,204.6072305335506,3,3
rtx3090,0,1,512,22,2816,45056,True,16,16,82,6685655,4,700.83955120183,4491048632320.0,156.05254108321427,3,3
rtx3090,0,1,1024,19,2432,19456,True,16,8,82,20851104,1,650.6239061155801,3501651001344.0,185.8048977084976,3,3
rtx3090,0,1,1024,19,2432,19456,True,16,8,82,6704009,4,707.02324001849,4503377821696.0,156.99842829359156,3,3
rtx3090,0,1,1024,19,2432,38912,True,16,16,82,11809250,1,672.3932399390101,3966396416000.0,169.52245046073836,3,3
rtx3090,0,1,1024,19,2432,38912,True,16,16,82,3596680,4,711.49983212454,4832096419840.0,147.2445436318713,3,3
rtx3090,0,1,2048,31,3968,31744,True,16,8,82,12955513,1,735.13232572705,4351394062336.0,168.94179547884983,3,3
rtx3090,0,1,2048,31,3968,31744,True,16,8,82,3674516,4,729.17779635992,4936668151808.0,147.70646394225764,3,3
rtx3090,0,1,2048,31,3968,63488,True,16,16,82,6921468,1,713.14342245554,4649454600192.0,153.38216710968436,3,3
rtx3090,0,1,2048,31,3968,63488,True,16,16,82,1932072,4,747.32024324598,5191431094272.0,143.9526461346161,3,3
rtx3090,0,1,4096,44,5632,45056,True,16,8,82,7291137,1,719.63489331688,4897777532928.0,146.93090661605984,3,3
rtx3090,0,1,4096,44,5632,45056,True,16,8,82,1955077,4,722.81973824463,5253244977152.0,137.59490398570756,3,3
rtx3090,0,1,4096,44,5632,90112,True,16,16,82,3679425,1,699.83296425331,4943263334400.0,141.5730696326041,3,3
rtx3090,0,1,4096,44,5632,90112,True,16,16,82,930422,4,690.891030309525,5000043167744.0,138.17701310391934,3,3
rtx3090,0,1,8192,76,9728,77824,True,16,8,82,3846035,1,734.3570057692,5167101870080.0,142.12164269906881,3,3
rtx3090,0,1,8192,76,9728,77824,True,16,8,82,962602,4,741.2685597476279,5172976943104.0,143.2963200688144,3,3
rtx3090,0,1,8192,76,9728,155648,True,16,16,82,1928297,1,745.58056406993,5181287759872.0,143.89869828197865,3,3
rtx3090,0,1,8192,76,9728,155648,True,16,16,82,474407,4,693.696299661747,5098880892928.0,136.0487358361094,3,3
rtx3090,0,1,16384,140,17920,143360,True,14,8,82,1940885,1,727.78023941654,5215111413760.0,139.5521939370848,3,3
rtx3090,0,1,16384,140,17920,143360,True,14,8,82,491559,4,730.2216792230821,5283228942336.0,138.21503614420536,3,3
