pair_id,pair_index,orientation,role_order,profile_name,cuda_pci_bus_id,cuda_binary_arch,grid_blocks,ITER,n_elements,exp_impl,exp_ptx_instruction,exp_results_per_ptx_instruction,bracket_context_id,smid_set,smid_histogram,special_function_path,xu_documented_results_per_sm_cycle,sfu_regime_evidence_status,interpolation_weight,outer_before_power_W,middle_power_W,outer_after_power_W,treatment_minus_control_power_W,logical_scalar_exponent_results,ptx_ex2_instructions,primary_denominator,treatment_seconds_per_operand,treatment_seconds_per_logical_scalar_exponent_result,treatment_seconds_per_ptx_ex2_instruction,effect_pJ_per_operand,effect_pJ_per_logical_scalar_exponent_result,effect_pJ_per_ptx_ex2_instruction,residual_mbb_ci_low_pJ_per_operand,residual_mbb_ci_high_pJ_per_operand,residual_mbb_ci_low_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_high_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_low_pJ_per_ptx_ex2_instruction,residual_mbb_ci_high_pJ_per_ptx_ex2_instruction,triplet_ci_label_diagnostic_only,min_trace_fit_points,min_trace_r2,max_query_latency_s,max_inter_role_gap_s,sm_clock_span_fraction,a100_batch_sm_clock_span_fraction,a100_batch_sm_clock_status,a100_batch_temperature_status,a100_batch_smid_status,temperature_span_C,quality_status,reasons
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,0,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,12319089,605507862528,fp32_fast___expf,ex2.approx.f32,1,pid_455879_started_1784951602930,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.4989685875528369,230.71434897420107,235.49257735761336,229.5988244114687,5.33484009885936,605507862528,nan,logical_scalar_exponent_result,2.0719530898939985e-11,2.0719530898939985e-11,nan,110.53538426922054,110.53538426922054,nan,61.843946047709224,151.87326406033284,61.843946047709224,151.87326406033284,nan,nan,positive,20,0.9998314979684353,0.00492280500475,0.013642912,0.00784313725490196,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p01,1,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,12319089,605507862528,fp32_fast___expf,ex2.approx.f32,1,pid_455879_started_1784951602930,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.499928877875478,236.08399887170918,230.11587275475446,233.59918945894367,4.725898135496436,605507862528,nan,logical_scalar_exponent_result,2.0727429919798046e-11,2.0727429919798046e-11,nan,97.95572241160664,97.95572241160664,nan,75.0705594388112,116.22958757617617,75.0705594388112,116.22958757617617,nan,nan,positive,20,0.9998774024643816,0.00495329900878,0.014169814,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p02,2,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,12319089,605507862528,fp32_fast___expf,ex2.approx.f32,1,pid_455879_started_1784951602930,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.5002068520142574,233.85584904707991,230.97172011040337,238.00577762756558,4.959951648005273,605507862528,nan,logical_scalar_exponent_result,2.0706006317013264e-11,2.0706006317013264e-11,nan,102.70079015567754,102.70079015567754,nan,65.0070370390366,132.21652011860704,65.0070370390366,132.21652011860704,nan,nan,positive,20,0.9998116289169758,0.00514230498811,0.010724699,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p03,3,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,12319089,605507862528,fp32_fast___expf,ex2.approx.f32,1,pid_455879_started_1784951602930,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.5000778609413368,230.28116185993878,233.84242266746972,230.0835596312993,3.660077307346228,605507862528,nan,logical_scalar_exponent_result,2.0722493610757648e-11,2.0722493610757648e-11,nan,75.84592861636125,75.84592861636125,nan,67.65482272221799,84.16924834028391,67.65482272221799,84.16924834028391,nan,nan,positive,20,0.9999937201948942,0.0052268950094,0.011579709,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p04,4,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,12319089,605507862528,fp32_fast___expf,ex2.approx.f32,1,pid_455879_started_1784951602930,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.4997657305019783,230.18690873154804,233.6615029477819,233.7015833803402,1.718080272903478,605507862528,nan,logical_scalar_exponent_result,2.0742019768767615e-11,2.0742019768767615e-11,nan,35.636454984893604,35.636454984893604,nan,21.522946211128943,54.917761105089525,21.522946211128943,54.917761105089525,nan,nan,positive,20,0.9999169597325712,0.00531470499118,0.010767385,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p05,5,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,12319089,605507862528,fp32_fast___expf,ex2.approx.f32,1,pid_455879_started_1784951602930,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,fp32_fast_expf_to_mufu_ex2,16,not_established,0.4998894213184565,234.6607253570464,230.02191898462243,233.38153961544606,3.9993549522965566,605507862528,nan,logical_scalar_exponent_result,2.0727132513029463e-11,2.0727132513029463e-11,nan,82.89516006289136,82.89516006289136,nan,69.91937164806288,94.29796723607288,69.91937164806288,94.29796723607288,nan,nan,positive,20,0.9998564799852028,0.00505479797721,0.01496091,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
