feature,source_column,coefficient_J_per_unit,estimate,unit,scale,constrained,unconstrained_estimate,nonzero_modes,warning
intercept,,14.573808010933814,14.573808010933814,J,1.0,False,33.010128268866936,,
elapsed_s,elapsed_s,0.0,0.0,W,1.2782034489999998,True,-1451.8816062716924,"dram_load_only,l2_load_only,reg_mma,reg_operand_only,shared_load_only,store_only",unconstrained_negative;zero_bound_or_not_identified
FLOP,FLOP,0.0,0.0,pJ/FLOP,64487424000000.0,True,0.30632038680857976,reg_mma,zero_bound_or_not_identified;low_positive_variation
reg_operand_ops,expected_reg_operand_ops,5.658209327423275e-09,5658.209327423275,pJ/reg-op,7872000000.0,True,166782.94918878374,"reg_mma,reg_operand_only",low_positive_variation
shared_bytes_static,expected_shared_bytes,4.57936576809956e-11,45.7936576809956,pJ/byte,5373952000000.0,True,397.57934387037784,shared_load_only,static_byte
l2_bytes_static,expected_l2_bytes,5.2407621449845173e-11,52.40762144984517,pJ/byte,5373952000000.0,True,491.4237337676607,l2_load_only,static_byte
dram_bytes_static,expected_dram_bytes,2.8709195740216503e-10,287.091957402165,pJ/byte,4030464000000.0,True,2083.5078057849414,dram_load_only,static_byte
store_bytes_static,expected_store_bytes,2.501010430986597e-09,2501.010430986597,pJ/byte,1343488.0,True,42844.552244121114,"dram_load_only,l2_load_only,reg_mma,reg_operand_only,shared_load_only,store_only",static_byte
baseline_family_shared,mode_family,-13.247006265471942,-13.247006265471942,J,1.0,False,48.01422703384763,shared,
baseline_family_l2,mode_family,4.326626837210666,4.326626837210666,J,1.0,False,103.45021636958958,l2,
baseline_family_dram,mode_family,-73.45592174127195,-73.45592174127195,J,1.0,False,-74.60605885258839,dram,
baseline_family_store,mode_family,-9.676859578151353,-9.676859578151353,J,1.0,False,-1.614490864771543,store,
