pair_id,pair_index,orientation,role_order,profile_name,cuda_pci_bus_id,cuda_binary_arch,grid_blocks,ITER,n_elements,exp_impl,exp_ptx_instruction,exp_results_per_ptx_instruction,bracket_context_id,smid_set,smid_histogram,special_function_path,xu_documented_results_per_sm_cycle,sfu_regime_evidence_status,interpolation_weight,outer_before_power_W,middle_power_W,outer_after_power_W,treatment_minus_control_power_W,logical_scalar_exponent_results,ptx_ex2_instructions,primary_denominator,treatment_seconds_per_operand,treatment_seconds_per_logical_scalar_exponent_result,treatment_seconds_per_ptx_ex2_instruction,effect_pJ_per_operand,effect_pJ_per_logical_scalar_exponent_result,effect_pJ_per_ptx_ex2_instruction,residual_mbb_ci_low_pJ_per_operand,residual_mbb_ci_high_pJ_per_operand,residual_mbb_ci_low_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_high_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_low_pJ_per_ptx_ex2_instruction,residual_mbb_ci_high_pJ_per_ptx_ex2_instruction,triplet_ci_label_diagnostic_only,min_trace_fit_points,min_trace_r2,max_query_latency_s,max_inter_role_gap_s,sm_clock_span_fraction,a100_batch_sm_clock_span_fraction,a100_batch_sm_clock_status,a100_batch_temperature_status,a100_batch_smid_status,temperature_span_C,quality_status,reasons
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_cache_reuse_candidate_probe_ptx_f16x2_g48_s00_p00,0,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,15026444,738579775488,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,pid_450133_started_1784949881993,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,direct_inline_ptx_ex2_approx_f16x2,0,not_established_native_f16_requires_sm86_runtime_ncu,0.5000343485032781,235.6069589676726,237.62011345643973,236.878090677626,1.3775449723187307,738579775488,369289887744,logical_scalar_exponent_result,1.6771644278257467e-11,1.6771644278257467e-11,3.3543288556514934e-11,23.10369425303178,23.10369425303178,46.20738850606356,-8.98009231517313,55.893489216606966,-8.98009231517313,55.893489216606966,-17.96018463034626,111.78697843321393,includes_zero,20,0.9998810928609323,0.00493489601649,0.01289829,0.0,nan,not_applicable,not_applicable,not_applicable,3.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_cache_reuse_candidate_probe_ptx_f16x2_g48_s00_p01,1,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,15026444,738579775488,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,pid_450133_started_1784949881993,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,direct_inline_ptx_ex2_approx_f16x2,0,not_established_native_f16_requires_sm86_runtime_ncu,0.49986583026900594,234.8993779576476,233.42516031030533,234.36174656921582,1.2054740869851344,738579775488,369289887744,logical_scalar_exponent_result,1.6768749273457938e-11,1.6768749273457938e-11,3.3537498546915876e-11,20.214292720304343,20.214292720304343,40.428585440608686,12.642647219432366,27.431781445198094,12.642647219432366,27.431781445198094,25.28529443886473,54.86356289039619,positive,20,0.9998913803632457,0.00532699702308,0.013314391,0.0,nan,not_applicable,not_applicable,not_applicable,4.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_cache_reuse_candidate_probe_ptx_f16x2_g48_s00_p02,2,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,15026444,738579775488,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,pid_450133_started_1784949881993,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,direct_inline_ptx_ex2_approx_f16x2,0,not_established_native_f16_requires_sm86_runtime_ncu,0.5000287578343112,235.13073537463856,235.11506322024314,235.29472255381813,0.09767045990133738,738579775488,369289887744,logical_scalar_exponent_result,1.6782997296140828e-11,1.6782997296140828e-11,3.3565994592281657e-11,1.6392030644369764,1.6392030644369764,3.2784061288739528,-32.00296101216324,38.381283877836296,-32.00296101216324,38.381283877836296,-64.00592202432648,76.76256775567259,includes_zero,20,0.9997939656521363,0.00493509898661,0.013340487,0.0,nan,not_applicable,not_applicable,not_applicable,3.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_cache_reuse_candidate_probe_ptx_f16x2_g48_s00_p03,3,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,15026444,738579775488,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,pid_450133_started_1784949881993,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,direct_inline_ptx_ex2_approx_f16x2,0,not_established_native_f16_requires_sm86_runtime_ncu,0.5001158414139848,233.5259108299266,235.09927070036125,233.73799372847546,1.4672938531773525,738579775488,369289887744,logical_scalar_exponent_result,1.6788123064847525e-11,1.6788123064847525e-11,3.357624612969505e-11,24.63310977943571,24.63310977943571,49.26621955887142,17.876646647127473,31.610856566187408,17.876646647127473,31.610856566187408,35.753293294254945,63.221713132374816,positive,20,0.9999935226702718,0.00473819900071,0.012694906,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_cache_reuse_candidate_probe_ptx_f16x2_g48_s00_p04,4,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,48,15026444,738579775488,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,pid_450133_started_1784949881993,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,direct_inline_ptx_ex2_approx_f16x2,0,not_established_native_f16_requires_sm86_runtime_ncu,0.5000564473272463,233.27995379607452,235.0459884505933,233.57111656077285,1.6204368368097732,738579775488,369289887744,logical_scalar_exponent_result,1.6773576036812672e-11,1.6773576036812672e-11,3.3547152073625343e-11,27.180520495080938,27.180520495080938,54.361040990161875,20.549277559489553,33.86431456674936,20.549277559489553,33.86431456674936,41.09855511897911,67.72862913349871,positive,20,0.9999931586118699,0.00522470200667,0.012035804,0.0,nan,not_applicable,not_applicable,not_applicable,2.0,pass,
softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_cache_reuse_candidate_probe_ptx_f16x2_g48_s00_p05,5,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,48,15026444,738579775488,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,pid_450133_started_1784949881993,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64|66|68|70|72|74|76|78|80,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1|10:1|11:1|12:1|13:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1|32:1|34:1|36:1|38:1|40:1|42:1|44:1|46:1|48:1|50:1|52:1|54:1|56:1|58:1|60:1|62:1|64:1|66:1|68:1|70:1|72:1|74:1|76:1|78:1|80:1,direct_inline_ptx_ex2_approx_f16x2,0,not_established_native_f16_requires_sm86_runtime_ncu,0.4998546428729914,234.96452544988932,233.4279643788512,236.3406292185491,2.22441292887774,738579775488,369289887744,logical_scalar_exponent_result,1.6774579230664375e-11,1.6774579230664375e-11,3.354915846132875e-11,37.313590917173855,37.313590917173855,74.62718183434771,24.810485108595678,49.055132001263786,24.810485108595678,49.055132001263786,49.620970217191356,98.11026400252757,positive,20,0.9998251073355121,0.00481530200341,0.013030105,0.0,nan,not_applicable,not_applicable,not_applicable,3.0,pass,
