mode,W_SM_KiB,blocks_per_SM,active_SM,load_repeat,component,accepted,reason,net_E_J,elapsed_s,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,expected_shared_bytes,ncu_shared_accesses,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,12.5152819087,0.208194742,99.9976,57.2335,1.34349e+12,943310000,785255000,0,,10.7002,39.7449,201.836
shared_load_only,16,16,82,1,reject,false,missing_ncu_join,23.9774912817,0.181387164,,,0,0,0,671744000000,,,,
l2_cg_load_only,16,16,82,1,reject,false,missing_ncu_join,52.7128036184,0.299088959,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,72.9755003838,0.346398971,99.9992,55.4988,2.686975e+12,868275000,658400000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,2,reject,false,missing_ncu_join,40.4283458663,0.332644571,,,0,0,0,1343488000000,,,,
l2_cg_load_only,16,16,82,2,reject,false,missing_ncu_join,122.37917284,0.629522837,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,142.320342695,0.684058948,99.9992,55.4988,5.37395e+12,1736550000,1316800000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,4,reject,false,missing_ncu_join,134.782480529,0.640601353,,,0,0,0,2686976000000,,,,
l2_cg_load_only,16,16,82,4,reject,false,missing_ncu_join,254.928475314,1.258642419,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,277.488880487,1.322011263,99.9992,55.4988,1.07479e+13,3473100000,2633600000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,8,reject,false,missing_ncu_join,255.188704584,1.241589369,,,0,0,0,5373952000000,,,,
l2_cg_load_only,16,16,82,8,reject,false,missing_ncu_join,506.260785601,2.526729455,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,533.253158574,2.605450076,99.9992,55.4988,2.14958e+13,6946200000,5267200000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,16,reject,false,missing_ncu_join,497.200815435,2.451787393,,,0,0,0,10747904000000,,,,
