profile_name,gpu_id,n_gpu_active,reg_payload_bytes_per_block,ptxas_registers_per_thread,compiler_footprint_bytes_per_block,compiler_footprint_bytes_per_sm,spill_free,max_resident_blocks_per_sm_est,blocks_per_SM,active_SM,ITER,reuse_factor,delta_E_J,expected_reg_pressure_ops,pJ_per_reg_update,pressure_elapsed_s,empty_elapsed_s,pressure_power_W,empty_power_W,update_rate_per_s,pressure_rows,empty_rows
rtx3090,0,1,256,21,2688,43008,True,16,16,82,27861047,1,615.35834496877,2339436394496.0,263.0370060141518,2.966699031,0.054456425,208.25571220877913,45.42484456572388,788565462842.867,1,1
rtx3090,0,1,512,22,2816,45056,True,16,16,82,20963725,1,690.86216911167,3520564121600.0,196.2362125072422,3.292137385,0.042951323,211.13609812003637,98.41077147565396,1069385541940.2552,1,1
rtx3090,0,1,1024,19,2432,38912,True,16,16,82,12869500,1,702.58830313634,4322504704000.0,162.54194066837505,3.315662304,0.027514948,210.81407580311895,-130.8386569852867,1303662528836.3503,1,1
rtx3090,0,1,2048,31,3968,63488,True,16,16,82,7361762,1,759.2813261659501,4945219452928.0,153.53844928285025,3.363039716,0.018888482,225.06965423211793,-125.1101129751983,1470461210850.5947,1,1
rtx3090,0,1,4096,44,5632,90112,True,16,16,82,3908354,1,721.43097774759,5250826698752.0,137.39378942349353,3.332730383,0.011638976,215.9936950003195,-135.9421897244225,1575533000069.871,1,1
rtx3090,0,1,8192,76,9728,155648,True,16,16,82,1997529,1,724.58276411971,5367312482304.0,134.9991763119169,3.354669729,0.008747194,218.5976695665948,999.2028078135687,1599952578313.5596,1,1
