input_file,row_index,profile_name,chip,expected_profile,expected_power_semantics,actual_power_semantics,energy_source,energy_integration_method,raw_measurement_scope,measurement_scope,nvml_total_energy_supported,nvml_field_power_instant_supported,nvml_field_power_average_supported,power_before_mw,power_after_mw,power_sample_count,power_sample_period_ms,measurement_start_epoch_ms,measurement_end_epoch_ms,status,reasons,notes
results/raw/rtx3090_pairv2b_20260714_shared.csv,2,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,105805,301890,0,0,1784001334981,1784001339808,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,3,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,107704,331820,0,0,1784001342838,1784001347838,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,4,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,108505,332332,0,0,1784001353117,1784001358731,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,5,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,111277,314460,0,0,1784001364040,1784001369509,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,6,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,110852,303482,0,0,1784001372564,1784001377413,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,7,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,111978,332990,0,0,1784001382714,1784001387680,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,8,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,112038,313401,0,0,1784001392956,1784001398392,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,9,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,111827,335412,0,0,1784001401464,1784001407084,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,10,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,113073,331184,0,0,1784001412433,1784001417467,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,11,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,112307,304266,0,0,1784001422767,1784001427578,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,12,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,113325,339761,0,0,1784001430588,1784001435655,final_candidate,,
results/raw/rtx3090_pairv2b_20260714_shared.csv,13,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,114029,312030,0,0,1784001440939,1784001445800,final_candidate,,
