implementation,canonical_implementation,exp_ptx_instruction,results_per_ptx_instruction,grid_blocks,softmax_cols,observed_xu_delta,expected_xu_delta,same_kernel_symbol_status,resource_match_status,logical_traffic_match_status,energy_usable,verdict,ncu_audit_source
ptx_f16,ptx_ex2_approx_f16,ex2.approx.f16,1,48,1024,49152000,49152000,pass,pass,pass,false,pass,results/summary/rtx3090_softmax_targeted_g48s1024_ncu_audit_20260725.csv
ptx_f16x2,ptx_ex2_approx_f16x2,ex2.approx.f16x2,2,48,1024,49152000,49152000,pass,pass,pass,false,pass,results/summary/rtx3090_softmax_targeted_g48s1024_ncu_audit_20260725.csv
