component,status,median,unit,rows,valid_detail_rows,invalid_detail_rows,ncu_denominator_rows,ncu_accepted_rows,confidence_class,energy_source,energy_integration_method,measurement_scope,power_semantics,reasons,cautions
global_l1_hit_path,accepted_with_caution,0.430304972983,pJ/bit,14,14,1,14,6,medium,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,,invalid_detail_rows:1
shared_l1_scalar_path,accepted,0.637283039735,pJ/bit,15,15,0,15,6,medium-high,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,,
