matched_block,chronological_orientation_order,forward_pair_id,reverse_pair_id,exp_impl,exp_ptx_instruction,exp_results_per_ptx_instruction,logical_scalar_exponent_results_per_treatment_role,ptx_ex2_instructions_per_treatment_role,primary_denominator,forward_pJ_per_operand,reverse_pJ_per_operand,order_balanced_effect_pJ_per_operand,middle_position_bias_pJ_per_operand,forward_pJ_per_logical_scalar_exponent_result,reverse_pJ_per_logical_scalar_exponent_result,order_balanced_effect_pJ_per_logical_scalar_exponent_result,middle_position_bias_pJ_per_logical_scalar_exponent_result,forward_pJ_per_ptx_ex2_instruction,reverse_pJ_per_ptx_ex2_instruction,order_balanced_effect_pJ_per_ptx_ex2_instruction,middle_position_bias_pJ_per_ptx_ex2_instruction,max_temperature_span_C,smid_set_match,quality_status
0,F-R,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p01,fp32_fast___expf,ex2.approx.f32,1,603310374912,nan,logical_scalar_exponent_result,58.08720806414287,101.03374107307124,79.56047456860705,-21.473266504464185,58.08720806414287,101.03374107307124,79.56047456860705,-21.473266504464185,nan,nan,nan,nan,3.0,True,pass
1,R-F,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p03,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p02,fp32_fast___expf,ex2.approx.f32,1,603310374912,nan,logical_scalar_exponent_result,86.21005354958444,138.26355429717776,112.2368039233811,-26.02675037379666,86.21005354958444,138.26355429717776,112.2368039233811,-26.02675037379666,nan,nan,nan,nan,3.0,True,pass
2,F-R,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p04,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p05,fp32_fast___expf,ex2.approx.f32,1,603310374912,nan,logical_scalar_exponent_result,26.456659910894466,91.96530713921375,59.210983525054104,-32.754323614159645,26.456659910894466,91.96530713921375,59.210983525054104,-32.754323614159645,nan,nan,nan,nan,3.0,True,pass
