group,reference_mode,mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,n_gpu_active,gpu_list,valid,regime,reason,iters,command
dram,dram_mma,empty,rtx3090,64,16,82,4,4,4,1,0,False,shared_resident,skipped:fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
dram,dram_mma,dram_load_only,rtx3090,64,16,82,4,4,4,1,0,False,shared_resident,skipped:fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
dram,dram_mma,dram_mma,rtx3090,64,16,82,4,4,4,1,0,False,shared_resident,skipped:fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
store,store_only,empty,rtx3090,64,16,82,4,4,4,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
store,store_only,store_only,rtx3090,64,16,82,4,4,4,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode store_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
store,store_only,store_path,rtx3090,64,16,82,4,4,4,1,0,True,shared_resident,fits shared memory,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode store_path --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
register,reg_mma,empty,rtx3090,8192,16,82,4,4,4,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
register,reg_mma,reg_fragment_only,rtx3090,8192,16,82,4,4,4,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_fragment_only --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
register,reg_mma,reg_operand_only,rtx3090,8192,16,82,4,4,4,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
register,reg_mma,reg_mma,rtx3090,8192,16,82,4,4,4,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 3.0 --repeats 1 --reuse-factor 4 --load-repeat 4 --store-repeat 4 --output results/raw/rtx3090_component_pairs_focus_20260703.csv --verify-smid 1
