run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,notes
idle_1782902564108_r0,0,0,idle,1,1,32,82,0,0,1.001079141,24726116430,24726135080,18.65,18.65,0,0,0,0,0,0,0,0,0,0,0,false,210,405,38,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=0;energy_source=nvml_total_energy;power_mw=20380;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=19450;power_limit_mw=370000;ecc_unavailable=Not Supported;idle_measurement=1;
empty_1782902566418_r0,0,1,empty,64,16,32,82,584017478,146004370,0.946895442,24726257431,24726524352,266.921,105.530062981,161.390937019,0,0,0,0,0,0,0,0,0,0,true,1965,9501,57,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=108842;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=253540;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
empty_1782902568872_r0,0,1,empty,128,16,32,82,666045210,83255652,1.051718731,24726720511,24727032192,311.681,139.319714873,172.361285127,0,0,0,0,0,0,0,0,0,0,true,1965,9501,59,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=141596;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=285989;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
reg_mma_1782902571338_r0,0,1,reg_mma,64,16,32,82,8277111,2069278,1.139946236,24727205889,24727434247,228.358,149.915677075,78.4423229251,10859569632,88961594425344,88961594425344,0.881754912688,0.881754912688,0,0,0,0,0,true,1965,9501,53,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=136259;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=197284;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
reg_mma_1782902573754_r0,0,1,reg_mma,128,16,32,82,7846480,980810,1.088044249,24727609185,24727820489,211.304,142.422796744,68.8812032557,10294581760,84333213777920,84333213777920,0.816774319038,0.816774319038,0,0,0,0,0,true,1965,9501,54,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=136419;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=195234;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
shared_mma_1782902576215_r0,0,1,shared_mma,64,16,32,82,4814637,1203660,1.103374319,24728025671,24728375336,349.665,144.429428951,205.235571049,6316803744,51747256270848,51747256270848,3.96611503371,3.96611503371,0,0,0,0,0,true,1950,9501,62,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=147284;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=319235;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
l2_mma_1782902578736_r0,0,1,l2_mma,64,16,32,82,3218461,804616,1.10322003,24728588263,24728920142,331.879,147.209964127,184.669035873,4222620832,34591709855744,34591709855744,5.33853448248,5.33853448248,0,0,0,0,0,true,1950,9501,58,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=152401;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=305570;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
dram_mma_1782902581248_r0,0,1,dram_mma,128,16,32,82,1650093,206262,1.10667321,24729114950,24729486404,371.454,149.791478999,221.662521001,2164922016,17735041155072,17735041155072,12.4985625386,12.4985625386,0,0,0,0,0,true,1950,9501,62,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=145612;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=341182;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
store_path_1782902583678_r0,0,1,store_path,64,16,32,82,6641672,1660418,1.051660446,24729677295,24729883016,205.721,138.205470469,67.5155295307,0,0,0,0,0,0,0,0,0,0,true,1965,9501,56,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=139103;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=200912;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
store_path_1782902586198_r0,0,1,store_path,128,16,32,82,6879901,859988,1.094255558,24730085153,24730307303,222.15,151.919524272,70.2304757283,0,0,0,0,0,0,0,0,0,0,true,1965,9501,56,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=144972;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=204361;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
