run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,15,139798.407057,139798.408391,139798.407724,0.00133380500483,7.52977265048,5173127126,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,16,139798.908519,139798.909898,139798.909208,0.00137940500281,8.03125674251,5173248395,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,17,139799.410065,139799.411457,139799.410761,0.00139240600402,8.53280944299,5173369443,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,18,139799.911579,139799.913003,139799.912291,0.00142480499926,9.03433928851,5173490402,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,19,139800.413158,139800.41456,139800.413859,0.00140240500332,9.53590734149,5173610914,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,20,139800.9147,139800.916105,139800.915402,0.0014053049963,10.0374505895,5173730793,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,21,139801.416228,139801.417613,139801.416921,0.00138547999086,10.538968899,5173850074,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,22,139801.917745,139801.919089,139801.918417,0.00134347999119,11.04046516,5173968823,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,23,139802.419205,139802.420623,139802.419914,0.00141787901521,11.5419621295,5174087197,true,false
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,24,139802.92074,139802.925291,139802.923015,0.00455083500128,12.0450634195,5174205304,true,false
