run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,16,140372.662997,140372.6643,140372.663649,0.00130270101363,8.0282301355,5307963958,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,17,140373.164417,140373.16934,140373.166879,0.00492280500475,8.53145989351,5308080466,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,18,140373.669514,140373.670912,140373.670213,0.00139870101702,9.03479436348,5308196331,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,19,140374.171031,140374.172444,140374.171738,0.0014123019937,9.53631888703,5308311802,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,20,140374.67257,140374.6739,140374.673235,0.0013300019782,10.037816472,5308426597,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,21,140375.174019,140375.175411,140375.174715,0.00139180102269,10.5392961125,5308540805,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,22,140375.675534,140375.676944,140375.676239,0.00141050099046,11.0408204145,5308654610,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,23,140376.177098,140376.178504,140376.177801,0.00140530100907,11.5423821725,5308767969,true,false
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,24,140376.678616,140376.680025,140376.679321,0.00140880199615,12.043901892,5308881057,true,false
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,25,140377.034808,140377.036235,140377.035521,0.00142690198845,12.40010275,5308938446,true,false
