schema_version,experiment_kind,protocol_revision,run_id,session_id,session_index,session_order,session_role_index,stage,policy_position,policy,cell_id,bracket_index,orientation,role_index,role_id,role_position,role,variant,kernel_symbol,same_kernel_symbol_status,softmax_cols,grid_blocks,rows_per_block,threads_per_block,iters,logical_output_elements,elapsed_s,energy_trace_power_W,energy_trace_status,energy_trace_fit_point_count,energy_trace_r2,endpoint_delta_E_J,delta_E_J,idle_power_W,idle_elapsed_s,idle_delta_E_J,preheat_requested_s,preheat_actual_s,gpu_name,gpu_id,target_profile,compute_capability,cuda_binary_arch,cuda_pci_bus_id,binary_sha256,numerical_check_id,control_treatment_output_bit_identical,output_digest,output_equivalence_status,sink_digest,energy_trace_sample_count,energy_trace_update_count,energy_source,energy_integration_method,input_dtype,output_dtype,block_shared_bytes,registers_per_thread,runtime_sm_count,occupancy_max_blocks_per_sm,static_single_wave_capacity_blocks,static_single_wave_capacity_gate_pass,smid_total_blocks,smid_unique,smid_max_blocks_on_sm,smid_histogram_ok,calibration_mode,calibration_reference_variant,calibration_elapsed_s,calibration_iters,calibration_before_preheat,role_target_seconds,measurement_start_epoch_ms,measurement_end_epoch_ms,E_before_mJ,E_after_mJ,clock_sm_before_mhz,clock_sm_after_mhz,clock_mem_before_mhz,clock_mem_after_mhz,temp_before_C,temp_after_C
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b0_r0_control_1785245427018,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,0,reduction,0,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,0,forward,0,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b0_r0_control,control_before,control,control,whole_softmax_stage_atc_kernel_s1024_reduction_fp32,pass,1024,41,2,256,4265265,358145771520,9.5876201171875,233.42276161279909,pass,33,0.99983651446390454,2241.4560000000001,2237.9687650483347,153.30873721059874,1.0118014329927973,155.11799999999999,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp32_bitwise_rowsum_sink_invariant_v2_pass,true,91307994de75464b1e8a8e450f7c91aaf56309b26482d52adcd6dfa6b49b7217,pass,63214ae39b51c13a48276b104b35fdad83e90a9abc262ac34c35fe8da71eeb79,40,38,nvml_total_energy,guarded_interior_theil_sen,fp32,fp32,32,34,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.404415039062499,4265265,true,13,1785245428049,1785245437632,10175782350,10178023806,1935,1935,9501,9501,60,67
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b0_r1_treatment_1785245437642,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,1,reduction,0,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,0,forward,1,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b0_r1_treatment,treatment_middle,treatment,treatment,whole_softmax_stage_atc_kernel_s1024_reduction_fp32,pass,1024,41,2,256,4265265,358145771520,13.38451953125,216.71046710472066,pass,49,0.99991310125834509,2906.7260000000001,2900.5654795894443,133.49058050228331,1.0073220109916292,134.46799999999999,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp32_bitwise_rowsum_sink_invariant_v2_pass,true,91307994de75464b1e8a8e450f7c91aaf56309b26482d52adcd6dfa6b49b7217,pass,63214ae39b51c13a48276b104b35fdad83e90a9abc262ac34c35fe8da71eeb79,56,54,nvml_total_energy,guarded_interior_theil_sen,fp32,fp32,32,34,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.404415039062499,4265265,true,13,1785245438664,1785245452166,10178158274,10181065000,1935,1935,9501,9501,60,64
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b0_r2_control_1785245452314,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,2,reduction,0,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,0,forward,2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b0_r2_control,control_after,control,control,whole_softmax_stage_atc_kernel_s1024_reduction_fp32,pass,1024,41,2,256,4265265,358145771520,9.5838251953124995,239.7090173330225,pass,33,0.99980132153046364,2280.6689999999999,2297.3293198598217,130.31212377602114,1.0040124910010491,130.83500000000001,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp32_bitwise_rowsum_sink_invariant_v2_pass,true,91307994de75464b1e8a8e450f7c91aaf56309b26482d52adcd6dfa6b49b7217,pass,63214ae39b51c13a48276b104b35fdad83e90a9abc262ac34c35fe8da71eeb79,40,38,nvml_total_energy,guarded_interior_theil_sen,fp32,fp32,32,34,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.404415039062499,4265265,true,13,1785245453329,1785245462747,10181195835,10183476504,1935,1935,9501,9501,60,64
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b1_r0_treatment_1785245462920,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,3,reduction,0,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,1,reverse,0,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b1_r0_treatment,treatment_before,treatment,treatment,whole_softmax_stage_atc_kernel_s1024_reduction_fp32,pass,1024,41,2,256,4265265,358145771520,13.380869140625,214.9051759114202,pass,49,0.99993003555279114,2905.7689999999998,2875.6180365137097,131.07812664386995,1.0038516979839187,131.583,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp32_bitwise_rowsum_sink_invariant_v2_pass,true,91307994de75464b1e8a8e450f7c91aaf56309b26482d52adcd6dfa6b49b7217,pass,63214ae39b51c13a48276b104b35fdad83e90a9abc262ac34c35fe8da71eeb79,56,54,nvml_total_energy,guarded_interior_theil_sen,fp32,fp32,32,34,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.404415039062499,4265265,true,13,1785245463960,1785245477414,10183608087,10186513856,1935,1935,9501,9501,60,63
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b1_r1_control_1785245477640,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,4,reduction,0,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,1,reverse,1,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b1_r1_control,control_middle,control,control,whole_softmax_stage_atc_kernel_s1024_reduction_fp32,pass,1024,41,2,256,4265265,358145771520,9.5884999999999998,234.14773601197152,pass,34,0.99974786783978431,2293.0909999999999,2245.1255667507889,132.16386014085921,1.0149446290160995,134.13900000000001,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp32_bitwise_rowsum_sink_invariant_v2_pass,true,91307994de75464b1e8a8e450f7c91aaf56309b26482d52adcd6dfa6b49b7217,pass,63214ae39b51c13a48276b104b35fdad83e90a9abc262ac34c35fe8da71eeb79,41,39,nvml_total_energy,guarded_interior_theil_sen,fp32,fp32,32,34,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.404415039062499,4265265,true,13,1785245478667,1785245488260,10186659684,10188952775,1935,1935,9501,9501,60,63
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b1_r2_treatment_1785245488534,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,5,reduction,0,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,1,reverse,2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32_b1_r2_treatment,treatment_after,treatment,treatment,whole_softmax_stage_atc_kernel_s1024_reduction_fp32,pass,1024,41,2,256,4265265,358145771520,13.4110361328125,217.47185204412824,pass,49,0.99991681277490918,2916.145,2916.522865633458,144.07696131625229,1.0077114250161685,145.18799999999999,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp32_bitwise_rowsum_sink_invariant_v2_pass,true,91307994de75464b1e8a8e450f7c91aaf56309b26482d52adcd6dfa6b49b7217,pass,63214ae39b51c13a48276b104b35fdad83e90a9abc262ac34c35fe8da71eeb79,56,54,nvml_total_energy,guarded_interior_theil_sen,fp32,fp32,32,34,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.404415039062499,4265265,true,13,1785245489556,1785245502932,10189097963,10192014108,1935,1935,9501,9501,60,63
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b0_r0_control_1785245503168,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,6,reduction,1,fp16_scalar,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar,0,forward,0,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b0_r0_control,control_before,control,control,whole_softmax_stage_atc_kernel_s1024_reduction_fp16_scalar,pass,1024,41,2,256,3228263,271070787584,7.7705830078125002,204.01511283763028,pass,28,0.99986619538013621,1640.002,1585.3163691530397,131.70137830047523,1.0054336690227501,132.417,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp16_scalar_bitwise_rowsum_sink_invariant_v2_pass,true,c83b2b55506a2d17f12489c672461b057fea2952d34734e7eec907de090229d7,pass,0e7bd139ad318805a6a35ecec030aa27ea200c30dc3ba5322ef57bc31c458d0c,34,32,nvml_total_energy,guarded_interior_theil_sen,fp16,fp16,512,31,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.401283203125001,3228263,true,13,1785245504182,1785245512026,10192146525,10193786527,1935,1935,9501,9501,60,65
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b0_r1_treatment_1785245512279,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,7,reduction,1,fp16_scalar,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar,0,forward,1,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b0_r1_treatment,treatment_middle,treatment,treatment,whole_softmax_stage_atc_kernel_s1024_reduction_fp16_scalar,pass,1024,41,2,256,3228263,271070787584,13.393238281249999,194.69916039792793,pass,48,0.9999085917928322,2579.924,2607.6522483687622,130.81921883294663,1.0074207840079907,131.78999999999999,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp16_scalar_bitwise_rowsum_sink_invariant_v2_pass,true,c83b2b55506a2d17f12489c672461b057fea2952d34734e7eec907de090229d7,pass,0e7bd139ad318805a6a35ecec030aa27ea200c30dc3ba5322ef57bc31c458d0c,55,53,nvml_total_energy,guarded_interior_theil_sen,fp16,fp16,512,31,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.401283203125001,3228263,true,13,1785245513310,1785245526619,10193918317,10196498241,1935,1935,9501,9501,59,63
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b0_r2_control_1785245526713,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,8,reduction,1,fp16_scalar,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar,0,forward,2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b0_r2_control,control_after,control,control,whole_softmax_stage_atc_kernel_s1024_reduction_fp16_scalar,pass,1024,41,2,256,3228263,271070787584,7.7596723632812497,201.65802244835953,pass,26,0.99980268365321079,1582.0999999999999,1564.8001836264852,129.96908251885847,1.0038541280082427,130.47,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp16_scalar_bitwise_rowsum_sink_invariant_v2_pass,true,c83b2b55506a2d17f12489c672461b057fea2952d34734e7eec907de090229d7,pass,0e7bd139ad318805a6a35ecec030aa27ea200c30dc3ba5322ef57bc31c458d0c,33,31,nvml_total_energy,guarded_interior_theil_sen,fp16,fp16,512,31,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.401283203125001,3228263,true,13,1785245527734,1785245535524,10196628711,10198210811,1950,1935,9501,9501,59,64
softmax_whole_stage_atc_raw_v1,softmax_whole_stage_operand_rate_atc,softmax_whole_stage_operand_rate_atc_v2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b1_r0_treatment_1785245535562,20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,9,reduction,1,fp16_scalar,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar,1,reverse,0,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar_b1_r0_treatment,treatment_before,treatment,treatment,whole_softmax_stage_atc_kernel_s1024_reduction_fp16_scalar,pass,1024,41,2,256,3228263,271070787584,13.3299296875,188.77169817725283,pass,49,0.99993570350246608,2577.3449999999998,2516.3134636927521,133.19070610472113,1.0039364150143228,133.715,5,5.028260925292968,NVIDIA GeForce RTX 3090,0,rtx3090,8.6,86,0000:01:00.0,5dff3859ad319cb37301e68cfc6fde00723e3a42110ca93adb44c05e97098167,whole_stage_atc_reduction_fp16_scalar_bitwise_rowsum_sink_invariant_v2_pass,true,c83b2b55506a2d17f12489c672461b057fea2952d34734e7eec907de090229d7,pass,0e7bd139ad318805a6a35ecec030aa27ea200c30dc3ba5322ef57bc31c458d0c,56,54,nvml_total_energy,guarded_interior_theil_sen,fp16,fp16,512,31,82,6,492,true,41,41,1,true,per_stage_policy_treatment_before_common_preheat,treatment,13.401283203125001,3228263,true,13,1785245536574,1785245550033,10198344526,10200921871,1950,1950,9501,9501,59,61
