component,check,status,expected,actual,interpretation
Tensor MMA incremental,required_component_present,pass,row present,present,strict summary includes the required component
Tensor MMA incremental,unit,pass,pJ/FLOP,pJ/FLOP,strict summary row must satisfy the final power/API reporting policy
Tensor MMA incremental,reliability_status,pass,accepted,accepted,strict summary row must satisfy the final power/API reporting policy
Tensor MMA incremental,energy_source,pass,nvml_total_energy,nvml_total_energy,strict summary row must satisfy the final power/API reporting policy
Tensor MMA incremental,energy_integration_method,pass,total_energy_mj_delta,total_energy_mj_delta,strict summary row must satisfy the final power/API reporting policy
Tensor MMA incremental,measurement_scope,pass,gpu_device_total_energy_counter,gpu_device_total_energy_counter,strict summary row must satisfy the final power/API reporting policy
Tensor MMA incremental,power_semantics,pass,one_sec_average,one_sec_average,strict summary row must satisfy the final power/API reporting policy
Tensor MMA incremental,run_class,pass,strict_explicit_measurement_scope or strict_explicit_measurement_scope_fresh_ncu,strict_explicit_measurement_scope,strict summary row must use an accepted measurement-scope run class
Tensor MMA incremental,positive_median,pass,median > 0,0.129216,negative or zero median indicates weak-signal/control drift
Tensor MMA incremental,valid_rows,pass,valid_detail_rows >= 6 and rows_used == valid_detail_rows,"rows_used=6, valid_detail_rows=6",strict representative rows need enough valid matched-control samples
Tensor MMA incremental,invalid_rows,pass,invalid_detail_rows == 0,0,accepted strict representatives must not hide invalid matched-control rows
Tensor MMA incremental,ncu_accepted_rows,pass,ncu_accepted_rows > 0,10,component path must have accepted NCU validation evidence
Tensor MMA incremental,matched_summary_artifact_exists,pass,path exists,results/summary/rtx3090_strict_scope_tensor_rf8_rf16_matched_control_summary_20260708.csv,strict summary must point to inspectable evidence artifacts
Tensor MMA incremental,matched_detail_artifact_exists,pass,path exists,results/summary/rtx3090_strict_scope_tensor_rf8_rf16_matched_control_detail_20260708.csv,strict summary must point to inspectable evidence artifacts
Tensor MMA incremental,power_api_audit_artifact_exists,fail,path exists,missing,strict summary must point to inspectable evidence artifacts
Tensor MMA incremental,reliability_artifact_exists,pass,path exists,results/summary/rtx3090_strict_scope_tensor_rf8_rf16_component_reliability_audit_20260708.csv,strict summary must point to inspectable evidence artifacts
Tensor MMA incremental,ncu_acceptance_artifact_exists,fail,path exists,missing,strict summary must point to inspectable evidence artifacts
Tensor MMA incremental,instability_artifact_exists,pass,path exists,results/summary/rtx3090_strict_scope_tensor_rf8_rf16_instability_audit_20260708.md,strict summary must point to inspectable evidence artifacts
Tensor MMA incremental,artifact_matches_reliability_status,pass,summary and artifact both accepted,"summary=accepted, artifact=accepted",curated strict summary must agree with reliability audit output
Tensor MMA incremental,artifact_matches_unit,pass,summary and artifact both pJ/FLOP,"summary=pJ/FLOP, artifact=pJ/FLOP",curated strict summary must agree with reliability audit output
Tensor MMA incremental,artifact_matches_energy_source,pass,summary and artifact both nvml_total_energy,"summary=nvml_total_energy, artifact=nvml_total_energy",curated strict summary must agree with reliability audit output
Tensor MMA incremental,artifact_matches_energy_integration_method,pass,summary and artifact both total_energy_mj_delta,"summary=total_energy_mj_delta, artifact=total_energy_mj_delta",curated strict summary must agree with reliability audit output
