mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,global_warmup_passes,l2_residency_policy,l2_address_layout,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,resolved_iters,command
clocked_empty,rtx3090,32,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 32 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,32,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 32 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,32,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 32 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,32,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 32 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,32,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 32 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,32,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 32 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,32,16,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,32,16,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,32,16,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,32,16,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,32,16,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,32,16,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 32 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,64,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,64,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
clocked_empty,rtx3090,64,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_shared.csv --verify-smid 1
