session_id,session_index,session_order,stage,policy,policy_position,cell_id,ctc_atc_delta_pJ_per_logical_output_element,tct_atc_delta_pJ_per_logical_output_element,session_effect_pJ_per_logical_output,order_balanced_atc_delta_pJ_per_logical_output_element,ctc_same_iter_gross_board_energy_contrast_pJ_per_logical_output,tct_same_iter_gross_board_energy_contrast_pJ_per_logical_output,order_balanced_same_iter_gross_board_energy_contrast_pJ_per_logical_output,mean_treatment_over_control_elapsed_ratio,mean_delta_power_W,middle_position_bias_pJ_per_logical_output_element,orientation_disagreement_abs_pJ_per_logical_output_element,logical_output_elements_per_role,mean_idle_power_W_diagnostic,primary_uses_idle,min_trace_fit_points,min_trace_r2,max_query_latency_s,temperature_min_C,temperature_max_C,temperature_span_C,sm_clock_min_mhz,sm_clock_max_mhz,sm_clock_span_fraction,output_equivalence_status,quality_status
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp32,0,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp32,50.80929785429586,-158.1514321253048,-53.67106713550447,-53.67106713550447,53.23303570964093,-181.18385181157115,-63.97540805096511,0.9984581127134301,-1.9776224135794394,104.48036498980034,208.96072997960067,439058008064,135.30248541537728,false,42,0.9998475837126257,0.005197581980610266,55.0,67.0,12.0,1935.0,1950.0,0.007722007722007722,pass,pass
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp32,2,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp32,213.04832301035532,149.94172430541445,181.49502365788487,181.49502365788487,207.79112662435946,145.84134457118068,176.81623559777006,0.9992721249023631,6.71084743975652,31.553299352470432,63.106598704940865,493520240640,131.95214251186033,false,48,0.9998164006059063,0.00558293002541177,60.0,68.0,8.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp32,1,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp32,21.67600988412709,-67.45788087271725,-22.890935494295082,-22.890935494295082,17.04534822667453,-74.30859178177981,-28.63162177755264,0.9991116940493294,-0.8465957699257984,44.566945378422176,89.13389075684435,494191312896,133.10358787523828,false,49,0.9998659284805997,0.005469249997986481,61.0,69.0,8.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp16_scalar,1,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp16_scalar,23.423546279729774,46.18869413106196,34.806120205395864,34.806120205395864,34.170341091586366,66.69793060124034,50.434135846413355,1.0025029087009818,1.1342995525837836,-11.382573925666092,22.765147851332184,442928177152,132.06593862579464,false,49,0.9998063433106934,0.005345214012777433,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp16_scalar,0,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp16_scalar,-125.93362000242446,78.2168471981292,-23.85838640214763,-23.85838640214763,-115.19844274900542,81.12921503501973,-17.03461385699285,1.0010655508833552,-0.774223988019827,-102.07523360027683,204.15046720055366,435660830720,132.0929989195404,false,48,0.9998525217978174,0.006239820009795949,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp16_scalar,2,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp16_scalar,35.20273685935926,40.9097614742005,38.05624916677988,38.05624916677988,44.73313697507544,50.10851315528486,47.42082506518015,1.00149468746454,1.2410540656780142,-2.853512307420619,5.707024614841238,436691957760,132.5084975482764,false,49,0.9999044613958744,0.005678118992364034,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp16x2,2,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp16x2,-51.83987220320668,2.062909358573459,-24.888481422316612,-24.888481422316612,-42.39519090120003,11.926543720805759,-15.234323590197135,1.002212160751697,-1.2671427476536934,-26.95139078089007,53.90278156178014,690577518592,130.34459414703565,false,49,0.9999098505608961,0.01989231799961999,59.0,66.0,7.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp16x2,1,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp16x2,1.4219489034332482,60.797586889524865,31.109767896479056,31.109767896479056,-1.0551494154165784,59.00446140963028,28.97465599710685,0.9995096146971523,1.5888695273325482,-29.68781899304581,59.37563798609162,682043598848,130.27315265743806,false,48,0.9997720815269754,0.00543913000728935,59.0,66.0,7.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp16x2,0,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp16x2,31.193797779478242,29.380000982311394,30.286899380894816,30.286899380894816,28.56989851191304,27.70020712268409,28.135052817298565,0.99950669817372,1.5471965319848238,0.906898398583424,1.813796797166848,683533359104,130.2530910884168,false,49,0.9998375995778732,0.005768356000771746,60.0,67.0,7.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,reduction,fp32,0,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp32,-740.8618291312868,-671.7217284999072,-706.2917788155969,-706.2917788155969,1768.028341468898,1817.5629428015322,1792.795642135215,1.3966902742583485,-18.891440482670845,-34.5700503156898,69.1401006313796,358145771520,137.40506493164744,false,33,0.9997478678397843,0.005804278014693409,60.0,67.0,7.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_reduction_session02_BCA,2,BCA,reduction,fp32,2,20260728_operand_rate_v2_final_reduction_session02_BCA_reduction_fp32,-390.0376369605465,-610.544468139889,-500.2910525502177,-500.2910525502177,1943.030548473611,1716.9716239548866,1830.0010862142487,1.3768755165394797,-13.616633416639758,110.25341558967125,220.5068311793425,363942334464,134.10208415031863,false,34,0.9998156226650418,0.008678821992361918,59.0,67.0,8.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_reduction_session03_CAB,3,CAB,reduction,fp32,1,20260728_operand_rate_v2_final_reduction_session03_CAB_reduction_fp32,-587.0453460853865,-605.2406436171036,-596.142994851245,-596.142994851245,1858.8101346419478,1853.9376812995993,1856.3739079707734,1.3978194461211975,-15.949363737984797,9.097648765858537,18.195297531717074,358359889920,131.3050283489335,false,34,0.9998307107966034,0.005943800002569333,59.0,66.0,7.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,reduction,fp16_scalar,1,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16_scalar,-401.23541728029215,-1132.718953554233,-766.9771854172625,-766.9771854172625,3809.8495482836506,3256.082892995545,3532.966220639598,1.7245434102058743,-15.577641526474281,365.7417681369704,731.4835362739408,271070787584,131.14696831212495,false,26,0.9997235853209977,0.007043122022878379,58.0,65.0,7.0,1935.0,1950.0,0.007692307692307693,pass,pass
20260728_operand_rate_v2_final_reduction_session02_BCA,2,BCA,reduction,fp16_scalar,0,20260728_operand_rate_v2_final_reduction_session02_BCA_reduction_fp16_scalar,-591.2850057203812,-539.9776179441388,-565.63131183226,-565.63131183226,3587.611344520947,3596.0499168072715,3591.8306306641093,1.7275782495274445,-11.491677999834138,-25.653693888121154,51.30738777624231,271373744128,131.03629221058208,false,26,0.999661941054482,0.005826363019878045,58.0,64.0,6.0,1935.0,1950.0,0.007692307692307693,pass,pass
20260728_operand_rate_v2_final_reduction_session03_CAB,3,CAB,reduction,fp16_scalar,2,20260728_operand_rate_v2_final_reduction_session03_CAB_reduction_fp16_scalar,-761.2804245929485,-776.1189692639847,-768.6996969284667,-768.6996969284667,3493.463328639354,3442.2970264272853,3467.8801775333195,1.7262425305345237,-15.578417232569421,7.419272335518087,14.838544671036175,269826381824,131.8273143096727,false,26,0.9997819901305176,0.00584368099225685,59.0,65.0,6.0,1935.0,1950.0,0.007692307692307693,pass,pass
20260728_operand_rate_v2_final_reduction_session01_ABC,1,ABC,reduction,fp16x2,2,20260728_operand_rate_v2_final_reduction_session01_ABC_reduction_fp16x2,-397.8325871769641,-431.94845307299244,-414.89052012497825,-414.89052012497825,1480.8187221043568,1463.8769479149873,1472.347835009672,1.4410615621054195,-14.749053244303639,17.057932948014155,34.11586589602831,475920128000,130.473501396602,false,32,0.9998055427118937,0.0057109240151476115,58.0,65.0,7.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_reduction_session02_BCA,2,BCA,reduction,fp16x2,1,20260728_operand_rate_v2_final_reduction_session02_BCA_reduction_fp16x2,-503.1892133857127,-516.4177208032465,-509.80346709447963,-509.80346709447963,1392.6262609906657,1396.6254987749005,1394.625879882783,1.4438414172904224,-18.127789514242266,6.61425370876691,13.22850741753382,474551701504,130.68202177863495,false,32,0.9997734594999024,0.005699553003069013,58.0,64.0,6.0,1935.0,1950.0,0.007722007722007722,pass,pass
20260728_operand_rate_v2_final_reduction_session03_CAB,3,CAB,reduction,fp16x2,0,20260728_operand_rate_v2_final_reduction_session03_CAB_reduction_fp16x2,-482.3638435751346,-508.84796165999313,-495.60590261756386,-495.60590261756386,1417.1876915418527,1387.227483963956,1402.2075877529044,1.442586079914131,-17.62272503582804,13.242059042429275,26.48411808485855,476380188672,130.2954033784002,false,32,0.999832451397347,0.012843840988352895,59.0,65.0,6.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp32,0,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp32,173.04435868102757,119.69225688554332,146.36830778328545,146.36830778328545,188.11241873292585,122.80842981368671,155.46042427330627,1.001636448830903,6.045170716064575,26.67605089774213,53.35210179548426,553892057088,132.88125335819427,false,48,0.9997173031343881,0.005646524019539356,61.0,67.0,6.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp32,2,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp32,-80.77205032323661,6.971951421782609,-36.900049450727,-36.900049450727,-82.57084714727311,4.293868686306156,-39.13848923048348,0.9995983199526689,-1.526908094259909,-43.87200087250961,87.74400174501922,554113816576,133.10014345984624,false,48,0.9998992841605211,0.005564102000789717,60.0,67.0,7.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_normalization_session03_CAB,3,CAB,normalization,fp32,1,20260728_operand_rate_v2_final_normalization_session03_CAB_normalization_fp32,-17.89119947476849,6.73539044621273,-5.577904514277881,-5.577904514277881,-26.09065265656195,-1.669520123502283,-13.880086390032117,0.998516596844507,-0.23195736027373925,-12.31329496049061,24.62658992098122,555911823360,135.11762126744892,false,48,0.9998731899017832,0.006094487995142117,61.0,68.0,7.0,1935.0,1935.0,0.0,pass,pass
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp16_scalar,1,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp16_scalar,25.091246721158203,104.10722561600086,64.59923616857954,64.59923616857954,12.838168167520847,92.19635329379452,52.51726073065768,0.9979350898250134,2.25649201785572,-39.50798944742133,79.01597889484266,469149620224,131.20269745770534,false,49,0.9998871604446566,0.005398053996032104,59.0,65.0,6.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp16_scalar,0,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp16_scalar,43.18511757881094,38.46293792600509,40.824027752408014,40.824027752408014,47.21243052487075,45.220619907489066,46.2165252161799,1.0009204195581591,1.4271829567572638,2.3610898264029245,4.722179652805849,467977930752,132.61742528718494,false,49,0.9999079851346477,0.01142447700840421,59.0,65.0,6.0,1935.0,1950.0,0.007751937984496124,pass,pass
20260728_operand_rate_v2_final_normalization_session03_CAB,3,CAB,normalization,fp16_scalar,2,20260728_operand_rate_v2_final_normalization_session03_CAB_normalization_fp16_scalar,107.35301390997299,-35.79757162447513,35.77772114274893,35.77772114274893,106.83641543615765,-30.794895824312757,38.020759805922445,1.0003823061073418,1.248758803804904,71.57529276722406,143.1505855344481,466026094592,131.4770583357121,false,49,0.9997840667050757,0.00577651200001128,59.0,65.0,6.0,1935.0,1935.0,0.0,pass,pass
