stage,policy,primary_estimand,fresh_session_count,mean_pJ_per_logical_output,sd_pJ_per_logical_output,min_pJ_per_logical_output,max_pJ_per_logical_output,t95_low_pJ_per_logical_output,t95_high_pJ_per_logical_output,positive_count,mean_atc_delta_pJ_per_logical_output_element,median_atc_delta_pJ_per_logical_output_element,sample_sd_atc_delta_pJ_per_logical_output_element,min_atc_delta_pJ_per_logical_output_element,max_atc_delta_pJ_per_logical_output_element,descriptive_t95_low_pJ_per_logical_output_element,descriptive_t95_high_pJ_per_logical_output_element,positive_session_count,mean_same_iter_gross_board_energy_contrast_pJ_per_logical_output,sample_sd_same_iter_gross_board_energy_contrast_pJ_per_logical_output,min_same_iter_gross_board_energy_contrast_pJ_per_logical_output,max_same_iter_gross_board_energy_contrast_pJ_per_logical_output,descriptive_t95_low_same_iter_gross_board_energy_contrast_pJ_per_logical_output,descriptive_t95_high_same_iter_gross_board_energy_contrast_pJ_per_logical_output,positive_same_iter_session_count,mean_treatment_over_control_elapsed_ratio,mean_delta_power_W,mean_middle_position_bias_pJ_per_logical_output_element,mean_orientation_disagreement_abs_pJ_per_logical_output_element,quality_status,verdict
exp,fp32,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added exp pass,3,34.97767367602844,127.81766118280329,-53.67106713550447,181.49502365788487,-282.5389987078406,352.49434605989745,1,34.97767367602844,-22.890935494295082,127.81766118280329,-53.67106713550447,181.49502365788487,-282.5389987078406,352.49434605989745,1,28.06973525641744,130.024754681119,-63.97540805096511,176.81623559777006,-294.92966132018273,351.06913183301765,1,0.9989473105550409,1.2955430854170942,60.200203240230984,120.40040648046197,pass,signed_result_reported_not_hard_rejected
exp,fp16_scalar,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added exp pass,3,16.33466099000937,34.84611353605364,-23.85838640214763,38.05624916677988,-70.22788375609055,102.89720573610929,2,16.33466099000937,34.806120205395864,34.84611353605364,-23.85838640214763,38.05624916677988,-70.22788375609055,102.89720573610929,2,26.940115684866885,38.113024534610965,-17.03461385699285,50.434135846413355,-67.7378858739864,121.61811724372016,2,1.001687715682959,0.5337098767473236,-38.770439944454516,77.54087988890903,pass,signed_result_reported_not_hard_rejected
exp,fp16x2,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added exp pass,3,12.169395285019087,32.09569983176181,-24.888481422316612,31.109767896479056,-67.56074305507761,91.8995336251158,2,12.169395285019087,30.286899380894816,32.09569983176181,-24.888481422316612,31.109767896479056,-67.56074305507761,91.8995336251158,2,13.95846174140276,25.285178859117085,-15.234323590197135,28.97465599710685,-48.853404613244386,76.77032809604991,2,1.000409491207523,0.6229744372212261,-18.577437125117484,38.36407211501287,pass,signed_result_reported_not_hard_rejected
reduction,fp32,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added reduction pass,3,-600.9086087390199,103.08301563430047,-706.2917788155969,-500.2910525502177,-856.9810153267649,-344.8362021512749,0,-600.9086087390199,-596.142994851245,103.08301563430047,-706.2917788155969,-500.2910525502177,-856.9810153267649,-344.8362021512749,0,1826.3902121067458,31.94257003638574,1792.795642135215,1856.3739079707734,1747.0404692661498,1905.7399549473419,3,1.3904617456396753,-16.1524792124318,28.260338013279995,102.61407644747972,pass,signed_result_reported_not_hard_rejected
reduction,fp16_scalar,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added reduction pass,3,-700.4360647259964,116.74751737631317,-768.6996969284667,-565.63131183226,-990.4529754046298,-410.41915404736307,0,-700.4360647259964,-766.9771854172625,116.74751737631317,-768.6996969284667,-565.63131183226,-990.4529754046298,-410.41915404736307,0,3530.8923429456754,62.00124542578997,3467.8801775333195,3591.8306306641093,3376.8727110021905,3684.9119748891603,3,1.7261213967559474,-14.21591225295928,115.8357821947891,265.8764895737398,pass,signed_result_reported_not_hard_rejected
reduction,fp16x2,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added reduction pass,3,-473.4332966123406,51.19409358906545,-509.80346709447963,-414.89052012497825,-600.6064751205965,-346.2601181040846,0,-473.4332966123406,-495.60590261756386,51.19409358906545,-509.80346709447963,-414.89052012497825,-600.6064751205965,-346.2601181040846,0,1423.0604342151198,42.852146753331816,1394.625879882783,1472.347835009672,1316.6098004317055,1529.5110679985341,3,1.4424963531033244,-16.833189264791315,12.304748566403447,24.609497132806894,pass,signed_result_reported_not_hard_rejected
normalization,fp32,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added normalization pass,3,34.63011793942685,98.02722322417186,-36.900049450727,146.36830778328545,-208.8830040590642,278.14323993791794,1,34.63011793942685,-5.577904514277881,98.02722322417186,-36.900049450727,146.36830778328545,-208.8830040590642,278.14323993791794,1,34.14728288426356,105.81661227695315,-39.13848923048348,155.46042427330627,-228.7157542124644,297.01031998099154,1,0.9999171218760262,1.428768420510309,-9.836414978419363,55.2408978204949,pass,signed_result_reported_not_hard_rejected
normalization,fp16_scalar,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added normalization pass,3,47.066995021245496,15.39158576417248,35.77772114274893,64.59923616857954,8.8321763793872,85.30181366310379,3,47.066995021245496,40.824027752408014,15.39158576417248,35.77772114274893,64.59923616857954,8.8321763793872,85.30181366310379,3,45.58484858425334,7.268864855718805,38.020759805922445,52.51726073065768,27.52798727386656,63.64170989464013,3,0.999745938496838,1.6441445928059626,11.476131048735217,75.62958136069888,pass,positive_in_all_fresh_sessions
normalization,fp16x2,active-control Operand-rate ATC delta pJ per logical Softmax output element for one added normalization pass,3,-52.910440621958536,13.889377199334513,-63.89648884780998,-37.29838210500773,-87.41356631684818,-18.407314927068903,0,-52.910440621958536,-57.53645091305789,13.889377199334513,-63.89648884780998,-37.29838210500773,-87.41356631684818,-18.407314927068903,0,-4.69872772682623,5.83671065960127,-10.636174681556255,1.0317405013672243,-19.197920789462167,9.800465335809708,1,1.0113514059072177,-2.7957513178909466,31.66637499809721,63.33274999619442,pass,signed_result_reported_not_hard_rejected
