session_id,session_index,session_order,stage,policy,policy_position,cell_id,bracket_index,orientation,bracket_schedule,interpolation_weight,treatment_power_at_contrast_W,control_power_at_contrast_W,delta_power_W,bracket_delta_power_W,treatment_result_rate_Gelement_per_s,normalization_source,atc_delta_pJ_per_logical_output_element,effect_pJ_per_logical_output,same_iter_gross_board_energy_contrast_pJ_per_logical_output,treatment_elapsed_at_contrast_s,control_elapsed_at_contrast_s,treatment_over_control_elapsed_ratio,treatment_energy_at_contrast_J,control_energy_at_contrast_J,diagnostic_uses_idle,logical_output_elements_per_role,minimum_trace_fit_points,minimum_trace_r2,max_query_latency_s,idle_power_W_diagnostic_mean,temperature_min_C,temperature_max_C,temperature_span_C,sm_clock_min_mhz,sm_clock_max_mhz,sm_clock_span_fraction,primary_uses_idle,quality_status,session_effect_pJ_per_logical_output,session_same_iter_gross_board_energy_contrast_pJ_per_logical_output
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp32,2,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp32,0,forward,C-T-C,0.5065555075015699,244.80807094786007,236.93073480196006,7.877336145900017,7.877336145900017,36.974410474552926,middle_treatment_result_rate,213.04832301035532,213.04832301035532,207.79112662435946,13.3476162109375,13.358563373088135,0.9991805135144481,3267.6041763519947,3165.055049537484,false,493520240640,48,0.9999111990160874,0.00558293002541177,131.68050808925443,60.0,68.0,8.0,1935.0,1935.0,0.0,false,pass,181.49502365788487,176.81623559777006
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp32,2,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp32,1,reverse,T-C-T,0.49659635546606884,243.50910514354956,237.96474640993654,5.544358733613024,5.544358733613024,36.97675719881537,interpolated_outer_treatment_result_rate,149.94172430541445,149.94172430541445,145.84134457118068,13.346769130090264,13.3552666015625,0.9993637362902781,3250.0582855459456,3178.0826300779154,false,493520240640,48,0.9998164006059063,0.005173208977794275,132.22377693446626,61.0,68.0,7.0,1935.0,1935.0,0.0,false,pass,181.49502365788487,176.81623559777006
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp16_scalar,2,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp16_scalar,0,forward,C-T-C,0.4994584309810715,205.9260087772877,204.77815195519364,1.1478568220940701,1.1478568220940701,32.60703355764489,middle_treatment_result_rate,35.20273685935926,35.20273685935926,44.73313697507544,13.3925693359375,13.37223422098243,1.0015206968872234,2757.8783506226996,2738.3437494603077,false,436691957760,49,0.9999051525160978,0.005678118992364034,131.3484879026204,60.0,64.0,4.0,1935.0,1935.0,0.0,false,pass,38.05624916677988,47.42082506518015
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp16_scalar,2,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp16_scalar,1,reverse,T-C-T,0.500031464894987,205.9366299548425,204.60237864558053,1.3342513092619583,1.3342513092619583,32.614497400660625,interpolated_outer_treatment_result_rate,40.9097614742005,40.9097614742005,50.10851315528486,13.389505173854335,13.369869140625,1.001468678041857,2757.3890130622426,2735.5070283520186,false,436691957760,49,0.9999044613958744,0.005170880991499871,133.6685071939324,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,false,pass,38.05624916677988,47.42082506518015
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp16x2,0,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp16x2,0,forward,C-T-C,0.4999004980485064,223.92943186410812,222.33573794453937,1.59369391956875,1.59369391956875,51.09008947340194,middle_treatment_result_rate,31.193797779478242,31.193797779478242,28.56989851191304,13.3789814453125,13.387047388448249,0.9993974815430392,2995.947713969272,2976.419235270164,false,683533359104,49,0.9998375995778732,0.005768356000771746,132.34068104697636,60.0,67.0,7.0,1935.0,1935.0,0.0,false,pass,30.286899380894816,28.135052817298565
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp16x2,0,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp16x2,1,reverse,T-C-T,0.4996913564168194,223.8538482456385,222.3531491012376,1.5006991444008975,1.5006991444008975,51.07893445287536,interpolated_outer_treatment_result_rate,29.380000982311394,29.380000982311394,27.70020712268409,13.381904132295102,13.3870458984375,0.9996159148044007,2995.585828302829,2976.6518126803844,false,683533359104,49,0.999922181644525,0.005482858017785475,128.16550112985723,60.0,67.0,7.0,1935.0,1935.0,0.0,false,pass,30.286899380894816,28.135052817298565
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp32,1,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp32,0,forward,C-T-C,0.4995166094077278,238.11153210316573,237.30994842446145,0.8015836787042758,0.8015836787042758,36.98022297412125,middle_treatment_result_rate,21.67600988412709,21.67600988412709,17.04534822667453,13.3636650390625,13.373294216313663,0.9992799696847007,3182.042756964684,3173.6190939457742,false,494191312896,49,0.9998659284805997,0.0052450509974732995,133.43434315709655,61.0,68.0,7.0,1935.0,1935.0,0.0,false,pass,-22.890935494295082,-28.63162177755264
20260728_operand_rate_v2_final_exp_session03_CAB,3,CAB,exp,fp32,1,20260728_operand_rate_v2_final_exp_session03_CAB_exp_fp32,1,reverse,T-C-T,0.5022688857599004,236.97231357873758,239.46708879729346,-2.4947752185558727,-2.4947752185558727,36.98270960013009,interpolated_outer_treatment_result_rate,-67.45788087271725,-67.45788087271725,-74.30859178177981,13.362766603993949,13.376900390625,0.9989434184139581,3166.6047331422556,3203.3273936743462,false,494191312896,49,0.9999103850717892,0.005469249997986481,132.77283259337995,61.0,69.0,8.0,1935.0,1935.0,0.0,false,pass,-22.890935494295082,-28.63162177755264
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp16_scalar,1,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp16_scalar,0,forward,C-T-C,0.49778291589848545,206.270358448955,205.39415892987626,0.8761995190787388,0.8761995190787388,34.92052542530233,middle_treatment_result_rate,25.091246721158203,25.091246721158203,12.838168167520847,13.43478125,13.46279712836739,0.9979190150382377,2771.1971441207997,2765.1741224006355,false,469149620224,49,0.9999148192743293,0.005376365006668493,132.77403009592504,60.0,65.0,5.0,1935.0,1935.0,0.0,false,pass,64.59923616857954,52.51726073065768
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp16_scalar,1,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp16_scalar,1,reverse,T-C-T,0.49909798128792787,206.09101356198624,202.45422904535354,3.6367845166327015,3.6367845166327015,34.93306535750908,interpolated_outer_treatment_result_rate,104.10722561600086,104.10722561600086,92.19635329379452,13.429959958298731,13.4575322265625,0.9979511646117891,2767.7881959155325,2724.534311781711,false,469149620224,49,0.9998871604446566,0.005398053996032104,129.63136481948567,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,false,pass,64.59923616857954,52.51726073065768
