component,rows,ncu_denominator_rows,expected_denominator_rows,unit,energy_source,energy_integration_method,measurement_scope,power_semantics,min,median,mean,max,stdev,q1,q3,iqr,mad,cv,relative_iqr,median_ci_low,median_ci_high,median_ci_relative_width,confidence_class,median_pJ_per_bit,min_pJ_per_bit,max_pJ_per_bit,median_pJ_per_bit_ci_low,median_pJ_per_bit_ci_high,median_pJ_per_bit_ci_relative_width
dram_cg_stream_path,15,15,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,199.73562139347786,204.1355437901746,204.98527970176244,214.45229151166848,4.32633884743453,201.73009294015014,208.18084987159955,6.450756931449405,2.52115506707878,0.021193461790669128,0.03160036126819719,201.75058009626716,208.40251873120175,0.03258589127316281,medium-high,25.516942973771826,24.966952674184732,26.80653643895856,25.218822512033395,25.99489762649967,0.030414110156690148
global_l1_hit_path,4,4,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,0.3929720662425961,0.90243782128078,0.8506264953270734,1.2046582725041375,0.40618119139459047,0.5664186205726951,1.1866456960351583,0.6202270754624633,0.2902120669107047,0.4500932715986128,0.6872795674523141,0.3929720662425961,1.2046582725041375,0.8994372655055172,low,0.1128047276600975,0.049121508280324515,0.15058228406301719,0.049121508280324515,0.15058228406301719,0.8994372655055172
l2_hit_cg_path,15,15,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,58.571452244273004,61.99566303652086,61.68052718968183,64.8372513226383,1.8049913100508845,60.4017729789677,62.752259543203444,2.3504865642357444,1.4083967870216583,0.029114799675383534,0.037913725720637954,60.21627970843619,62.74568644870159,0.04079973689087508,medium-high,7.7494578795651075,7.3214315305341255,8.104656415329787,7.527034963554524,7.843210806087699,0.04079973689087508
shared_l1_scalar_path,9,9,0,pJ/byte,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,1.032046023834852,8.083765836858246,5.661680805750348,9.814774640659286,3.7371692417342475,2.2141493107269783,8.378893015728503,6.164743705001524,1.7310088038010392,0.4623054795445061,0.7626079019871078,1.1401067755413818,8.378893015728503,0.895472034479474,medium,1.0104707296072808,0.1290057529793565,1.2268468300824107,0.14251334694267273,1.1421483572624158,0.9892765629225608
tensor_mma_increment,25,0,0,pJ/FLOP,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,one_sec_average,1.0588753012338383,1.640956682841279,1.5490016573219878,1.7620365424344495,0.21737808094084302,1.6000470765678998,1.6628796792782445,0.06283260271034474,0.03765384277158357,0.13247033466139876,0.03829022628528593,1.6033028400696954,1.655684742989637,0.03192156348042268,medium-high,,,,,,
