input_file,backup_file,row_index,run_id,elapsed_s,measurement_start_epoch_ms,measurement_end_epoch_ms_original,measurement_end_epoch_ms_repaired,original_interval_mismatch_ms,energy_fields_modified
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,21,reg_operand_only_1783989296903_r0,1.429182143,1783989295468,1783989296898,1783989296897,0.817857,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,22,reg_operand_only_1783989309636_r0,2.446122709,1783989307184,1783989309631,1783989309630,0.877291,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,23,reg_mma_1783989327744_r0,10.033553433,1783989317703,1783989327736,1783989327737,-0.553433,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,24,reg_mma_1783989345752_r0,9.995319605,1783989338003,1783989345747,1783989347998,-2251.319605,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,25,reg_operand_only_1783989358392_r0,2.398193398,1783989355988,1783989358386,1783989358386,-0.193398,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,26,reg_operand_only_1783989370933_r0,2.296794325,1783989368631,1783989370928,1783989370928,0.205675,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,27,reg_mma_1783989389082_r0,10.126788271,1783989378950,1783989389077,1783989389077,0.211729,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,28,reg_mma_1783989407322_r0,10.205622339,1783989399350,1783989407316,1783989409556,-2239.622339,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,29,reg_operand_only_1783989419866_r0,2.285885767,1783989417574,1783989419860,1783989419860,0.114233,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,30,reg_operand_only_1783989433930_r0,3.816234263,1783989430108,1783989433925,1783989433924,0.765737,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,31,reg_mma_1783989452088_r0,10.134970779,1783989441946,1783989452082,1783989452081,1.029221,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,32,reg_mma_1783989470255_r0,10.141274106,1783989462335,1783989470250,1783989472476,-2226.274106,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,33,reg_operand_only_1783989482138_r0,1.614191551,1783989480518,1783989482133,1783989482132,0.808449,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,34,reg_operand_only_1783989493967_r0,1.553448811,1783989492406,1783989493961,1783989493959,1.551189,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,35,reg_mma_1783989511966_r0,9.97488052,1783989501986,1783989511961,1783989511961,0.119480,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,36,reg_mma_1783989530134_r0,10.156111184,1783989522223,1783989530127,1783989532379,-2252.111184,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,37,reg_operand_only_1783989541941_r0,1.546494349,1783989540387,1783989541934,1783989541933,0.505651,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,38,reg_operand_only_1783989553661_r0,1.428042356,1783989552227,1783989553656,1783989553655,0.957644,false
