label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,ncu_replay_mode,ncu_cache_control,global_warmup_passes,l2_residency_policy,l2_address_layout,status,shared_accesses,shared_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l1_path_hit_rate_pct,l1_aggregate_hit_rate_pct,l1_hit_rate_source,l2_hit_rate_pct,l2_path_hit_rate_pct,l2_native_read_hit_rate_pct,l2_native_vs_derived_hit_delta_pct,l2_aggregate_hit_rate_pct,l2_hit_rate_source,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l1_request_bytes,l1_hit_bytes,l1_miss_bytes,l2_bytes,l2_read_bytes,expected_l2_read_bytes,l2_read_to_expected_ratio,l2_read_hit_sectors,l2_read_miss_sectors,l2_read_miss_bytes,l2_read_sector_conservation_ratio,dram_bytes,dram_read_bytes,dram_read_to_l2_miss_bytes_ratio,tensor_hmma_inst,expected_logical_mma,tensor_hmma_per_logical_mma,local_read_bytes,local_write_bytes,spill_local_read_inst,spill_local_write_inst,spill_zero_verified,spill_evidence_source,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,achieved_occupancy_pct,registers_per_thread,shared_mem_per_block_static,shared_mem_per_block_dynamic,launch_persisting_l2_cache_size_bytes,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes,l2_read_bytes_to_expected,l1_hit_to_request_bytes,l1_request_to_l2_read_bytes,tensor_l2_bytes_per_hmma,tensor_dram_bytes_per_hmma,register_l2_bytes_per_op,register_dram_bytes_per_op,tensor_control_hmma_class,tensor_control_hmma_per_block,tensor_control_hmma_per_reg_op,dram_expected_l2_hit_pct,dram_l2_hit_limit_pct,global_address_control_dram_to_expected
global_addr_only_l1_W8_B8_LR16,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,16,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.7591,,17.7591,aggregate_fallback,22.3167,,21.7304,,22.3167,aggregate_fallback,0,sectors,0,,0,sectors,0,,7.43774e+06,sectors,7.43774e+06,,0,0,0,0,0,0,3.04505e+08,0,,,0,0,0,,2.38008e+08,2.38008e+08,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.000387,48.8305,194.361,13.9933,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l1_W8_B8_LR16_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000221446
global_addr_only_l1_W8_B8_LR2,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,2,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.3399,,17.3399,aggregate_fallback,20.8559,,20.4796,,20.8559,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.15505e+06,sectors,1.15505e+06,,0,0,0,0,0,0,4.70859e+07,0,,,0,0,0,,3.69615e+07,3.69615e+07,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.003077,46.0368,204.468,19.9332,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l1_W8_B8_LR2_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000275116
global_addr_only_l1_W8_B8_LR4,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,4,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.1875,,17.1875,aggregate_fallback,22.6351,,22.1731,,22.6351,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.94032e+06,sectors,1.94032e+06,,0,0,0,0,0,0,7.89449e+07,0,,,0,0,0,,6.20904e+07,6.20904e+07,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.001552,46.5081,195.714,15.0795,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l1_W8_B8_LR4_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000231079
global_addr_only_l1_W8_B8_LR8,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,8,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.4543,,17.4543,aggregate_fallback,21.6139,,21.1733,,21.6139,aggregate_fallback,0,sectors,0,,0,sectors,0,,3.73606e+06,sectors,3.73606e+06,,0,0,0,0,0,0,1.54072e+08,0,,,0,0,0,,1.19554e+08,1.19554e+08,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.000819,48.0296,194.828,14.3679,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l1_W8_B8_LR8_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000222469
global_addr_only_l2_W64_B8_LR1,global_addr_only,global_scalar_addr_only_kernel,64,8,82,100000,1,1,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.1494,,17.1494,aggregate_fallback,22.0546,,21.5682,,22.0546,aggregate_fallback,0,sectors,0,,0,sectors,0,,626168,sectors,626168,,0,0,0,0,0,0,2.58116e+07,0,,,0,0,0,,2.00374e+07,2.00374e+07,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.012362,40.9943,235.096,18.3017,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l2_W64_B8_LR1_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000298289
global_addr_only_l2_W64_B8_LR16,global_addr_only,global_scalar_addr_only_kernel,64,8,82,100000,1,16,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,16.997,,16.997,aggregate_fallback,22.2584,,21.6665,,22.2584,aggregate_fallback,0,sectors,0,,0,sectors,0,,7.46049e+06,sectors,7.46049e+06,,0,0,0,0,0,0,3.03886e+08,0,,,0,0,0,,2.38736e+08,2.38736e+08,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.00095,48.8304,194.361,13.9933,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l2_W64_B8_LR16_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000222123
global_addr_only_l2_W64_B8_LR2,global_addr_only,global_scalar_addr_only_kernel,64,8,82,100000,1,2,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.2256,,17.2256,aggregate_fallback,21.5185,,20.8246,,21.5185,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.13054e+06,sectors,1.13054e+06,,0,0,0,0,0,0,4.57766e+07,0,,,0,0,0,,3.61774e+07,3.61774e+07,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.006462,46.0205,204.595,19.9205,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l2_W64_B8_LR2_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.00026928
global_addr_only_l2_W64_B8_LR4,global_addr_only,global_scalar_addr_only_kernel,64,8,82,100000,1,4,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.5305,,17.5305,aggregate_fallback,21.5425,,21.0087,,21.5425,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.97364e+06,sectors,1.97364e+06,,0,0,0,0,0,0,8.0339e+07,0,,,0,0,0,,6.31565e+07,6.31565e+07,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.003446,46.5081,195.714,15.0795,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l2_W64_B8_LR4_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000235047
global_addr_only_l2_W64_B8_LR8,global_addr_only,global_scalar_addr_only_kernel,64,8,82,100000,1,8,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,17.1113,,17.1113,aggregate_fallback,20.8871,,20.3914,,20.8871,aggregate_fallback,0,sectors,0,,0,sectors,0,,3.97887e+06,sectors,3.97887e+06,,0,0,0,0,0,0,1.61884e+08,0,,,0,0,0,,1.27324e+08,1.27324e+08,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,0.001837,48.0296,194.828,14.3679,,34,0,0,1.17965e+06,,achieved_occupancy_pct,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_addr_only_l2_W64_B8_LR8_raw_metrics.csv,global_address_control,accepted,pass,,,,,,,,,,,,,,,,,0.000236928
global_l1_load_only_W8_B8_LR1,global_l1_load_only,global_ca_load_only_kernel,8,8,82,100000,1,1,1,application,none,4,normal,contiguous,ok,0,0,sass,0,0,0,0,99.999,99.999,99.9989,global_load_lookup_hit_miss,100,100,24.4572,75.5428,25.015,srcunit_tex_read_lookup_hit_miss,2.0992e+09,sectors,2.0992e+09,,20992,sectors,20992,,619756,sectors,619756,,0,0,6.71744e+10,6.71744e+10,6.71737e+10,671744,2.67039e+07,671744,,,20992,0,0,1,1.98322e+07,1.98322e+07,,0,,,0,0,0,0,1,local_memory_bytes_zero_inference,4.56812,53.6178,388.936,9.03912,,33,0,0,1.17965e+06,,achieved_occupancy_pct,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714_rerun1/global_l1_load_only_W8_B8_LR1_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,1e-05,29.5234,,0.99999,100000,,,,,,,,,,
