profile,coordinate_id,policy,session_id,session_index,session_order,run_id,softmax_cols,grid_blocks,runtime_sm_count,requested_sm_coverage,grid_sm_coverage,occupancy,static_capacity,logical_elements,net_pj,gross_pj,elapsed_s,preheat_s,trace_r2,trace_updates,temp_before_c,temp_after_c,validation_abs_error,validation_row_sum_error
rtx3090,s1024_q25,fp16_scalar_all,20260728_range_v2_contiguous_s1024_q25_session01_ABC,1,ABC,whole_precision_1785237187658_fp16_scalar_all_b0_p1,1024,21,82,0.25,0.256097560976,6,492,229865072640,2518.1736647,10265.2422826,13.4249511719,5.04355755615,0.999994038952,27,57,60,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q25,fp16_scalar_all,20260728_range_v2_contiguous_s1024_q25_session02_BCA,2,BCA,whole_precision_1785237324602_fp16_scalar_all_b0_p0,1024,21,82,0.25,0.256097560976,6,492,234048417792,2474.49158955,10541.2003656,13.6653261719,5.03469299316,0.999999236222,28,60,59,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q25,fp16_scalar_all,20260728_range_v2_contiguous_s1024_q25_session03_CAB,3,CAB,whole_precision_1785237506004_fp16_scalar_all_b0_p2,1024,21,82,0.25,0.256097560976,6,492,234005796864,2684.56469114,10367.5279419,13.6619902344,5.04162084961,0.999847996777,28,57,57,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q50,fp16_scalar_all,20260728_range_v2_contiguous_s1024_q50_session01_ABC,1,ABC,whole_precision_1785237086786_fp16_scalar_all_b0_p1,1024,41,82,0.5,0.5,6,492,459942864896,1853.39226227,6133.19059106,13.8115332031,5.04491418457,0.999921072184,28,56,57,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q50,fp16_scalar_all,20260728_range_v2_contiguous_s1024_q50_session02_BCA,2,BCA,whole_precision_1785237223566_fp16_scalar_all_b0_p0,1024,41,82,0.5,0.5,6,492,457613004800,2055.76316951,6123.57786345,13.7252304688,5.03435571289,0.999998599604,28,57,61,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q50,fp16_scalar_all,20260728_range_v2_contiguous_s1024_q50_session03_CAB,3,CAB,whole_precision_1785237607378_fp16_scalar_all_b0_p2,1024,41,82,0.5,0.5,6,492,457578745856,2233.44266763,6117.35033951,13.6785654297,5.02841717529,0.999992560511,28,59,60,3.4673885866e-06,0.000390350818634
rtx3090,s4096_q50,fp16_scalar_all,20260728_range_v2_contiguous_s4096_q50_session01_ABC,1,ABC,whole_precision_1785237137054_fp16_scalar_all_b0_p1,4096,41,82,0.5,0.5,6,492,247083900928,4592.96878339,12695.6159151,13.4065820313,5.04644793701,0.999998470363,27,59,64,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q50,fp16_scalar_all,20260728_range_v2_contiguous_s4096_q50_session02_BCA,2,BCA,whole_precision_1785237274478_fp16_scalar_all_b0_p0,4096,41,82,0.5,0.5,6,492,291063316480,4989.37915454,11847.6306157,13.8352109375,5.04598590088,0.999906179669,28,60,63,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q50,fp16_scalar_all,20260728_range_v2_contiguous_s4096_q50_session03_CAB,3,CAB,whole_precision_1785237455617_fp16_scalar_all_b0_p2,4096,41,82,0.5,0.5,6,492,284813746176,5347.93803142,11708.4326883,13.5424443359,5.04648278809,0.999999067494,28,61,62,6.72487900348e-07,0.000558376312256
rtx3090,s512_q50,fp16_scalar_all,20260728_range_v2_contiguous_s512_q50_session01_ABC,1,ABC,whole_precision_1785237036238_fp16_scalar_all_b0_p1,512,41,82,0.5,0.5,6,492,262178702336,2455.60346494,8750.00335234,12.7648017578,4.95813265991,0.999862109947,26,52,54,9.93376094206e-06,0.000346183776855
