run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,4,174138.47769,174138.482695,174138.480193,0.00500495100277,2.00940912252,9778245619
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,5,174138.982816,174138.984212,174138.983514,0.00139618501998,2.5127301875,9778390254
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,6,174139.484304,174139.48564,174139.484972,0.00133576602093,3.01418825699,9778532600
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,7,174139.985733,174139.987878,174139.986805,0.00214452200453,3.516021794,9778672808
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,8,174140.487959,174140.489392,174140.488675,0.00143280799966,4.01789168699,9778817733
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,9,174140.989507,174140.990953,174140.99023,0.00144651898881,4.5194463575,9778961545
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,10,174141.49107,174141.492484,174141.491777,0.00141418600106,5.02099346899,9779104123
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,11,174141.9926,174141.995716,174141.994158,0.00311642501038,5.5233742985,9779245510
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,12,174142.495838,174142.497217,174142.496528,0.00137841000105,6.02574399998,9779390899
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,13,174142.99734,174142.998762,174142.998051,0.00142247701297,6.52726729351,9779535391
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,14,174143.498855,174143.500173,174143.499514,0.00131787700229,7.02873080748,9779678671
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,15,174144.000305,174144.001834,174144.00107,0.001529036992,7.5302863025,9779821604
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,16,174144.501928,174144.503366,174144.502647,0.00143817599746,8.031863685,9779963983
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,17,174145.003462,174145.00482,174145.004141,0.00135850501829,8.53335752449,9780106228
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,18,174145.5053,174145.509454,174145.507377,0.004153907008,9.0365935165,9780247841
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,19,174146.00998,174146.011381,174146.01068,0.00140161500894,9.53989679151,9780394211
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,20,174146.512334,174146.513749,174146.513042,0.00141456801794,10.042257926,9780539793
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,21,174147.014749,174147.016139,174147.015444,0.00138954201248,10.544660624,9780684939
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,22,174147.517681,174147.519077,174147.518379,0.00139631400816,11.047595059,9780828430
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,23,174148.020643,174148.022031,174148.021337,0.00138839101419,11.5505533595,9780970872
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,24,174148.523448,174148.52521,174148.524329,0.00176241699955,12.0535452265,9781112994
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,25,174149.025973,174149.027537,174149.026755,0.00156331399921,12.555971376,9781255252
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,26,174149.529771,174149.531147,174149.530459,0.00137652701233,13.0596753225,9781397222
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,27,174150.032765,174150.03415,174150.033457,0.00138566500391,13.5626738475,9781537959
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,28,174150.536892,174150.539043,174150.537968,0.00215154100442,14.0671840615,9781639631
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,29,174150.539065,174150.545464,174150.542265,0.0063988630136,14.0714811675,9781639631
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,0,174151.564807,174151.567906,174151.566357,0.00309840400587,0.00160147401039,9781774066
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,1,174152.068538,174152.07006,174152.069299,0.00152175300173,0.504543795483,9781891134
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,2,174152.571573,174152.57293,174152.572252,0.00135702700936,1.00749659352,9782014850
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,3,174153.075306,174153.076682,174153.075994,0.00137674700818,1.51123896253,9782138950
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,4,174153.578071,174153.579489,174153.57878,0.00141890000668,2.01402496302,9782262990
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,5,174154.080471,174154.08186,174154.081166,0.00138957300805,2.51641044149,9782387289
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,6,174154.583583,174154.584954,174154.584269,0.00137125799665,3.019513434,9782511396
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,7,174155.088348,174155.089757,174155.089052,0.00140934198862,3.52429741301,9782635377
whole_precision_1785237455617_fp16_scalar_all_b0_p2,fp16_scalar_all,0,2,8,174155.591673,174155.593106,174155.592389,0.00143350998405,4.027634325,9782758753
