profile,coordinate_id,policy,session_id,session_index,session_order,run_id,softmax_cols,grid_blocks,runtime_sm_count,requested_sm_coverage,grid_sm_coverage,occupancy,static_capacity,logical_elements,net_pj,gross_pj,elapsed_s,preheat_s,trace_r2,trace_updates,temp_before_c,temp_after_c,validation_abs_error,validation_row_sum_error
rtx3090,s512_q25,fp16_scalar_all,20260728_range_v2_contiguous_followup_s512_q25_session03_CAB,3,CAB,whole_precision_1785238161256_fp16_scalar_all_b0_p2,512,21,82,0.25,0.256097560976,6,492,142713102336,2209.90202159,16009.5314806,13.6663740234,5.03184124756,0.999998308446,28,57,58,9.93376094206e-06,0.000346183776855
rtx3090,s512_q50,fp16_scalar_all,20260728_range_v2_contiguous_s512_q50_session01_ABC,1,ABC,whole_precision_1785237036238_fp16_scalar_all_b0_p1,512,41,82,0.5,0.5,6,492,262178702336,2455.60346494,8750.00335234,12.7648017578,4.95813265991,0.999862109947,26,52,54,9.93376094206e-06,0.000346183776855
rtx3090,s512_q50,fp16_scalar_all,20260728_range_v2_contiguous_s512_q50_session02_BCA,2,BCA,whole_precision_1785237375018_fp16_scalar_all_b0_p0,512,41,82,0.5,0.5,6,492,280411219968,2443.42055231,8989.13288673,13.7386904297,5.04350689697,0.999911535753,28,57,58,9.93376094206e-06,0.000346183776855
rtx3090,s512_q50,fp16_scalar_all,20260728_range_v2_contiguous_s512_q50_session03_CAB,3,CAB,whole_precision_1785237556484_fp16_scalar_all_b0_p2,512,41,82,0.5,0.5,6,492,280450349056,2467.26724574,9002.38370976,13.7558916016,5.04179644775,0.999996911517,28,56,57,9.93376094206e-06,0.000346183776855
rtx3090,s1024_q25,fp16x2_all,20260728_range_v2_contiguous_s1024_q25_session01_ABC,1,ABC,whole_precision_1785237202785_fp16x2_all_b0_p2,1024,21,82,0.25,0.256097560976,6,492,372268259328,1961.53711386,6741.72213464,13.7183105469,5.04355755615,0.999908635227,28,56,57,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q25,fp16x2_all,20260728_range_v2_contiguous_s1024_q25_session02_BCA,2,BCA,whole_precision_1785237339176_fp16x2_all_b0_p1,1024,21,82,0.25,0.256097560976,6,492,370823577600,1995.39901146,6891.1969653,13.6599296875,5.03469299316,0.999861818083,27,58,61,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q25,fp16x2_all,20260728_range_v2_contiguous_s1024_q25_session03_CAB,3,CAB,whole_precision_1785237475807_fp16x2_all_b0_p0,1024,21,82,0.25,0.256097560976,6,492,364592836608,1866.8801006,6828.34391451,13.4293886719,5.04162084961,0.999793222047,27,59,62,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q50,fp16x2_all,20260728_range_v2_contiguous_s1024_q50_session01_ABC,1,ABC,whole_precision_1785237101879_fp16x2_all_b0_p2,1024,41,82,0.5,0.5,6,492,729228492800,1738.94464934,4179.55172314,13.8201982422,5.04491418457,0.999993118785,28,55,59,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q50,fp16x2_all,20260728_range_v2_contiguous_s1024_q50_session02_BCA,2,BCA,whole_precision_1785237238656_fp16x2_all_b0_p1,1024,41,82,0.5,0.5,6,492,724610420736,1805.6687892,4291.50685389,13.7222275391,5.03435571289,0.999919459461,28,57,62,3.4673885866e-06,0.000390350818634
rtx3090,s1024_q50,fp16x2_all,20260728_range_v2_contiguous_s1024_q50_session03_CAB,3,CAB,whole_precision_1785237577215_fp16x2_all_b0_p0,1024,41,82,0.5,0.5,6,492,724464736256,1327.36432731,4243.34880387,13.7211748047,5.02841717529,0.999983335855,28,58,63,3.4673885866e-06,0.000390350818634
rtx3090,s2048_q50,fp16x2_all,20260728_range_v2_contiguous_followup_s2048_q50_session01_ABC,1,ABC,whole_precision_1785237757692_fp16x2_all_b0_p2,2048,41,82,0.5,0.5,6,492,651171336192,2829.6503543,5570.38997151,13.8923603516,4.97690719604,0.999899091175,28,52,63,2.10128957401e-06,0.000559329986572
rtx3090,s2048_q50,fp16x2_all,20260728_range_v2_contiguous_followup_s2048_q50_session02_BCA,2,BCA,whole_precision_1785237995557_fp16x2_all_b0_p1,2048,41,82,0.5,0.5,6,492,641816125440,2900.52385879,5757.53622629,13.8311904297,5.0484197998,0.999936717892,28,59,66,2.10128957401e-06,0.000559329986572
rtx3090,s2048_q50,fp16x2_all,20260728_range_v2_contiguous_followup_s2048_q50_session03_CAB,3,CAB,whole_precision_1785238081146_fp16x2_all_b0_p0,2048,41,82,0.5,0.5,6,492,641414926336,2775.68547998,5836.39221939,13.8279990234,5.0476706543,0.999900236371,28,60,66,2.10128957401e-06,0.000559329986572
rtx3090,s4096_q25,fp16x2_all,20260728_range_v2_contiguous_followup_s4096_q25_session01_ABC,1,ABC,whole_precision_1785237858445_fp16x2_all_b0_p2,4096,21,82,0.25,0.256097560976,6,492,190357192704,5336.3032037,15040.1161883,13.8395869141,5.04378692627,0.999928018324,28,57,59,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q25,fp16x2_all,20260728_range_v2_contiguous_followup_s4096_q25_session02_BCA,2,BCA,whole_precision_1785237944720_fp16x2_all_b0_p1,4096,21,82,0.25,0.256097560976,6,492,190141120512,5320.47417723,14915.5884546,13.8288730469,5.02674133301,0.999803269051,28,56,62,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q25,fp16x2_all,20260728_range_v2_contiguous_followup_s4096_q25_session03_CAB,3,CAB,whole_precision_1785238030783_fp16x2_all_b0_p0,4096,21,82,0.25,0.256097560976,6,492,187613110272,3888.51172685,15234.613398,13.6515654297,5.04120501709,0.999983481042,28,61,64,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q50,fp16x2_all,20260728_range_v2_contiguous_s4096_q50_session01_ABC,1,ABC,whole_precision_1785237152152_fp16x2_all_b0_p2,4096,41,82,0.5,0.5,6,492,274957918208,4421.48318665,11789.6007985,13.7693808594,5.04644793701,0.999998830049,28,59,65,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q50,fp16x2_all,20260728_range_v2_contiguous_s4096_q50_session02_BCA,2,BCA,whole_precision_1785237289125_fp16x2_all_b0_p1,4096,41,82,0.5,0.5,6,492,300447916032,5163.52124804,11117.1828399,13.4079912109,5.04598590088,0.999993999581,27,59,67,6.72487900348e-07,0.000558376312256
rtx3090,s4096_q50,fp16x2_all,20260728_range_v2_contiguous_s4096_q50_session03_CAB,3,CAB,whole_precision_1785237425405_fp16x2_all_b0_p0,4096,41,82,0.5,0.5,6,492,309509070848,4797.91699826,11136.8147984,13.7898789062,5.04648278809,0.999917118004,28,59,61,6.72487900348e-07,0.000558376312256
rtx3090,s512_q25,fp16x2_all,20260728_range_v2_contiguous_followup_s512_q25_session01_ABC,1,ABC,whole_precision_1785237807659_fp16x2_all_b0_p2,512,21,82,0.25,0.256097560976,6,492,246291763200,2192.4120715,9013.98038142,13.1272851563,5.04413995361,0.999998571777,27,54,55,9.93376094206e-06,0.000346183776855
rtx3090,s512_q25,fp16x2_all,20260728_range_v2_contiguous_followup_s512_q25_session02_BCA,2,BCA,whole_precision_1785237893922_fp16x2_all_b0_p1,512,21,82,0.25,0.256097560976,6,492,253576436736,2131.18939131,8995.44419845,13.5182314453,5.10789941406,0.999997962683,27,56,58,9.93376094206e-06,0.000346183776855
rtx3090,s512_q25,fp16x2_all,20260728_range_v2_contiguous_followup_s512_q25_session03_CAB,3,CAB,whole_precision_1785238131582_fp16x2_all_b0_p0,512,21,82,0.25,0.256097560976,6,492,252499989504,1948.10910189,9193.64325432,13.5558291016,5.03184124756,0.999978047409,28,60,59,9.93376094206e-06,0.000346183776855
rtx3090,s512_q50,fp16x2_all,20260728_range_v2_contiguous_s512_q50_session01_ABC,1,ABC,whole_precision_1785237051357_fp16x2_all_b0_p2,512,41,82,0.5,0.5,6,492,496942146560,1626.7801485,5099.61947089,13.581171875,4.95813265991,0.999996603967,28,52,54,9.93376094206e-06,0.000346183776855
rtx3090,s512_q50,fp16x2_all,20260728_range_v2_contiguous_s512_q50_session02_BCA,2,BCA,whole_precision_1785237389633_fp16x2_all_b0_p1,512,41,82,0.5,0.5,6,492,484306390016,1634.99018499,5189.8383097,13.2930039063,5.04350689697,0.99998876787,27,56,59,9.93376094206e-06,0.000346183776855
