candidate_id,stage,global_session_index,session_id,session_index_within_candidate,session_order,sequence_index,policy,run_id,iters,logical_output_elements,elapsed_s,net_E_J,net_pJ_per_logical_output_element,gross_pJ_per_logical_output_element,validation_max_abs_error,validation_max_row_sum_error,preheat_actual_s,energy_trace_sample_count,energy_trace_update_count,energy_trace_fit_point_count,energy_trace_r2,temperature_start_C,temperature_end_C,raw_csv,trace_csv
exp_packed,exp,1,20260727_abba_confirm_v1_exp_packed_session01_AB,1,AB,0,fp16_io_fp32_all,whole_precision_1785126197497_fp16_io_fp32_all_b0_p0,9964519,163258679296,12.0922441406,291.137248815,1783.28803143,11289.8776492,3.54528288365e-06,0.000136375427246,19.9639819336,27,25,20,0.999851941817,52,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session01_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session01_AB_energy_trace.csv
exp_packed,exp,1,20260727_abba_confirm_v1_exp_packed_session01_AB,1,AB,1,exp_fp16x2,whole_precision_1785126211736_exp_fp16x2_b0_p1,9816554,160834420736,12.1033779297,333.639150021,2074.42628571,11407.4388751,7.54756081836e-06,0.000136375427246,19.9639819336,28,26,21,0.999890754225,52,53,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session01_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session01_AB_energy_trace.csv
reduction_scalar,reduction,2,20260727_abba_confirm_v1_reduction_scalar_session01_BA,1,BA,0,reduction_fp16_scalar,whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,6817251,111693840384,13.6637724609,297.282114734,2661.58020632,18260.7194101,8.57576857502e-06,0.000624656677246,19.9335855713,31,29,24,0.999918803682,53,53,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session01_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session01_BA_energy_trace.csv
reduction_scalar,reduction,2,20260727_abba_confirm_v1_reduction_scalar_session01_BA,1,BA,1,fp16_io_fp32_all,whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,11242439,184196120576,13.7193701172,383.078832858,2079.73344748,11462.5381955,3.54528288365e-06,0.000136375427246,19.9335855713,30,28,23,0.999935410338,52,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session01_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session01_BA_energy_trace.csv
exp_packed,exp,3,20260727_abba_confirm_v1_exp_packed_session02_BA,2,BA,0,exp_fp16x2,whole_precision_1785126296989_exp_fp16x2_b0_p0,11025554,180642676736,13.6720195312,332.652582567,1841.49498102,11716.358068,7.54756081836e-06,0.000136375427246,19.962567749,31,29,24,0.999920872535,53,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session02_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session02_BA_energy_trace.csv
exp_packed,exp,3,20260727_abba_confirm_v1_exp_packed_session02_BA,2,BA,1,fp16_io_fp32_all,whole_precision_1785126310795_fp16_io_fp32_all_b0_p1,11175363,183097147392,13.6572958984,338.720677561,1849.95059937,11459.7491123,3.54528288365e-06,0.000136375427246,19.962567749,30,28,23,0.999901038191,53,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session02_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session02_BA_energy_trace.csv
reduction_scalar,reduction,4,20260727_abba_confirm_v1_reduction_scalar_session02_AB,2,AB,0,fp16_io_fp32_all,whole_precision_1785126346336_fp16_io_fp32_all_b0_p0,11166606,182953672704,13.6597685547,380.169887777,2077.9571252,11588.8877142,3.54528288365e-06,0.000136375427246,19.87790979,30,28,23,0.999937023765,54,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session02_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session02_AB_energy_trace.csv
reduction_scalar,reduction,4,20260727_abba_confirm_v1_reduction_scalar_session02_AB,2,AB,1,reduction_fp16_scalar,whole_precision_1785126362108_reduction_fp16_scalar_b0_p1,6784121,111151038464,13.6591835938,440.353439277,3961.75731115,18528.8105312,8.57576857502e-06,0.000624656677246,19.87790979,31,29,24,0.999909713244,54,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session02_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session02_AB_energy_trace.csv
exp_packed,exp,5,20260727_abba_confirm_v1_exp_packed_session03_BA,3,BA,0,exp_fp16x2,whole_precision_1785126397851_exp_fp16x2_b0_p0,10973014,179781861376,13.6610117188,374.213614991,2081.48704284,11775.8351372,7.54756081836e-06,0.000136375427246,19.964677002,31,29,23,0.99995598979,54,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session03_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session03_BA_energy_trace.csv
exp_packed,exp,5,20260727_abba_confirm_v1_exp_packed_session03_BA,3,BA,1,fp16_io_fp32_all,whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,11133826,182416605184,13.6574208984,403.722964731,2213.1919642,11701.8297689,3.54528288365e-06,0.000136375427246,19.964677002,31,29,24,0.99988975803,54,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session03_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session03_BA_energy_trace.csv
