run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,0,43395.5297065,43395.5309348,43395.5303207,0.00122830100008,-0.000622580497293,7438724825,false,false
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,1,43396.0337428,43396.0351827,43396.0344628,0.00143990600191,0.503519539001,7438806258,true,false
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,2,43396.5362922,43396.5382804,43396.5372863,0.00198813000316,1.006343062,7438888889,true,false
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,3,43397.0414159,43397.0438293,43397.0426226,0.00241336700128,1.5116793855,7438955077,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,4,43397.5523705,43397.5538309,43397.5531007,0.00146035000216,2.022157446,7439038066,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,5,43398.0618808,43398.0633736,43398.0626272,0.00149270499969,2.53168396551,7439120577,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,6,43398.5715522,43398.573026,43398.5722891,0.00147373499931,3.0413458545,7439202602,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,7,43399.0806448,43399.0821334,43399.0813891,0.0014885940036,3.550445872,7439284244,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,8,43399.5881386,43399.5940711,43399.5911048,0.00593256300635,4.06016161451,7439365315,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,9,43400.1006648,43400.1021359,43400.1014003,0.00147110100079,4.5704570915,7439432012,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,10,43400.6040913,43400.6055848,43400.604838,0.00149344300007,5.07389481151,7439515354,true,true
softmax_1785110423114_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_g16_s00_p00,probe_before,0,0,11,43401.1065175,43401.1107859,43401.1086517,0.00426839300053,5.5777085005,7439598878,true,true
