stage_group,session_id,session_index_within_stage,session_order,sequence_index,policy,run_id,iters,logical_output_elements,elapsed_s,net_E_J,net_pJ_per_logical_output_element,gross_pJ_per_logical_output_element,validation_max_abs_error,validation_max_row_sum_error,preheat_actual_s,energy_trace_sample_count,energy_trace_update_count,energy_trace_fit_point_count,energy_trace_r2,temperature_start_C,temperature_end_C,raw_csv,trace_csv
reduction,20260727_stageiso_v1_reduction_session01,1,ABC,1,reduction_fp16_scalar,whole_precision_1785119620558_reduction_fp16_scalar_b0_p1,6775885,111016099840,13.6530419922,331.9602667,2990.19932405,18421.6226975,8.57576857502e-06,0.000624656677246,19.9828876953,31,29,24,0.99991356153,54,55,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session01_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session01_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session01,1,ABC,2,reduction_fp16x2,whole_precision_1785119634783_reduction_fp16x2_b0_p2,11968481,196091592704,13.6573769531,415.32766066,2118.02890136,10527.5707906,8.57576857502e-06,0.000624656677246,19.9828876953,31,29,24,0.999931468333,54,55,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session01_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session01_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session02,2,CAB,0,reduction_fp16x2,whole_precision_1785119711894_reduction_fp16x2_b0_p0,11966933,196066230272,13.6515009766,317.766554084,1620.71027552,10516.8737456,8.57576857502e-06,0.000624656677246,19.9582006836,30,28,23,0.999966117394,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session02_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session02_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session02,2,CAB,1,fp16_io_fp32_all,whole_precision_1785119726013_fp16_io_fp32_all_b0_p1,11173448,183065772032,13.6534199219,404.177130695,2207.82468623,11459.8155072,3.54528288365e-06,0.000136375427246,19.9582006836,31,29,24,0.999922491035,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session02_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session02_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session02,2,CAB,2,reduction_fp16_scalar,whole_precision_1785119741895_reduction_fp16_scalar_b0_p2,6743242,110481276928,13.5950390625,309.681014998,2803.01806431,18458.6507391,8.57576857502e-06,0.000624656677246,19.9582006836,31,29,24,0.999939768221,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session02_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session02_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session03,3,BCA,0,reduction_fp16_scalar,whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,6772513,110960852992,13.6576054688,470.779417743,4242.75233156,18530.1986707,8.57576857502e-06,0.000624656677246,19.9511772461,30,28,23,0.999892425344,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session03_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session03_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session03,3,BCA,1,reduction_fp16x2,whole_precision_1785119832726_reduction_fp16x2_b0_p1,11971149,196135305216,13.6546601562,493.163791233,2514.40601522,10524.8721458,8.57576857502e-06,0.000624656677246,19.9511772461,30,28,23,0.999900746387,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session03_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session03_energy_trace.csv
reduction,20260727_stageiso_v1_reduction_session03,3,BCA,2,fp16_io_fp32_all,whole_precision_1785119848447_fp16_io_fp32_all_b0_p2,11166949,182959292416,13.6466728516,358.400010557,1958.90575343,11456.843125,3.54528288365e-06,0.000136375427246,19.9511772461,31,29,24,0.999918396215,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session03_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/reduction_session03_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session01,1,ABC,0,fp16_io_fp32_all,whole_precision_1785119923854_fp16_io_fp32_all_b0_p0,11122009,182222995456,13.5917509766,395.555746266,2170.72354275,11545.0468801,3.54528288365e-06,0.000136375427246,19.9435041504,31,29,24,0.999924117322,55,56,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session01_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session01_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session01,1,ABC,1,normalization_fp16_scalar,whole_precision_1785119939447_normalization_fp16_scalar_b0_p1,11176461,183115137024,13.6507646484,427.775623587,2336.10192221,11433.8168656,4.60957765111e-06,0.000346183776855,19.9435041504,30,28,23,0.999966828592,55,58,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session01_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session01_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session01,1,ABC,2,normalization_fp16x2,whole_precision_1785119953448_normalization_fp16x2_b0_p2,11204633,183576707072,13.6556699219,369.518280812,2012.88217174,11466.0144929,4.60957765111e-06,0.000346183776855,19.9435041504,31,29,24,0.999917743672,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session01_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session01_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session02,2,CAB,0,normalization_fp16x2,whole_precision_1785120030507_normalization_fp16x2_b0_p0,11154380,182753361920,13.5925185547,515.978163453,2823.35798386,11424.3899293,4.60957765111e-06,0.000346183776855,19.9538873291,31,29,24,0.999927194897,55,58,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session02_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session02_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session02,2,CAB,1,fp16_io_fp32_all,whole_precision_1785120044321_fp16_io_fp32_all_b0_p1,11173975,183074406400,13.6519335937,394.799039898,2156.49498836,11561.333716,3.54528288365e-06,0.000136375427246,19.9538873291,30,28,23,0.999966682931,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session02_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session02_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session02,2,CAB,2,normalization_fp16_scalar,whole_precision_1785120060118_normalization_fp16_scalar_b0_p2,11178987,183156523008,13.6349228516,549.01838592,2997.53662553,11541.5283649,4.60957765111e-06,0.000346183776855,19.9538873291,31,29,24,0.999932015885,55,56,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session02_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session02_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session03,3,BCA,0,normalization_fp16_scalar,whole_precision_1785120135814_normalization_fp16_scalar_b0_p0,11203297,183554818048,13.6882783203,405.947578823,2211.58770519,11573.1286185,4.60957765111e-06,0.000346183776855,19.9581817627,31,29,23,0.999938227275,55,56,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session03_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session03_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session03,3,BCA,1,normalization_fp16x2,whole_precision_1785120151781_normalization_fp16x2_b0_p1,11155172,182766338048,13.5874707031,440.654393965,2411.02600551,11423.656197,4.60957765111e-06,0.000346183776855,19.9581817627,31,29,24,0.999921699512,55,56,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session03_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session03_energy_trace.csv
normalization,20260727_stageiso_v1_normalization_session03,3,BCA,2,fp16_io_fp32_all,whole_precision_1785120165779_fp16_io_fp32_all_b0_p2,11178085,183141744640,13.6568173828,393.196325128,2146.95085438,11582.7497489,3.54528288365e-06,0.000136375427246,19.9581817627,31,29,24,0.999915847112,55,57,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session03_raw.csv,results/raw/rtx3090_softmax_whole_precision_stage_isolation_20260727_stageiso_v1/normalization_session03_energy_trace.csv
