pair_id,pair_index,orientation,role_order,profile_name,cuda_pci_bus_id,cuda_binary_arch,grid_blocks,ITER,n_elements,exp_impl,exp_ptx_instruction,exp_results_per_ptx_instruction,bracket_context_id,smid_set,smid_histogram,special_function_path,xu_documented_results_per_sm_cycle,sfu_regime_evidence_status,interpolation_weight,outer_before_power_W,middle_power_W,outer_after_power_W,treatment_minus_control_power_W,logical_scalar_exponent_results,ptx_ex2_instructions,primary_denominator,treatment_seconds_per_operand,treatment_seconds_per_logical_scalar_exponent_result,treatment_seconds_per_ptx_ex2_instruction,effect_pJ_per_operand,effect_pJ_per_logical_scalar_exponent_result,effect_pJ_per_ptx_ex2_instruction,residual_mbb_ci_low_pJ_per_operand,residual_mbb_ci_high_pJ_per_operand,residual_mbb_ci_low_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_high_pJ_per_logical_scalar_exponent_result,residual_mbb_ci_low_pJ_per_ptx_ex2_instruction,residual_mbb_ci_high_pJ_per_ptx_ex2_instruction,triplet_ci_label_diagnostic_only,min_trace_fit_points,min_trace_r2,max_query_latency_s,max_inter_role_gap_s,sm_clock_span_fraction,a100_batch_sm_clock_span_fraction,a100_batch_sm_clock_status,a100_batch_temperature_status,a100_batch_smid_status,temperature_span_C,quality_status,reasons
softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16_g16_s00_p00,0,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,16,15778712,129259208704,ptx_ex2_approx_f16,ex2.approx.f16,1,pid_142986_started_1785109816392,0|2|4|6|8|10|12|14|16|18|20|22|24|26|28|30,0:1|2:1|4:1|6:1|8:1|10:1|12:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1,direct_inline_ptx_ex2_approx_f16,0,not_established_native_f16_requires_sm86_runtime_ncu_and_final_sass_audit,0.49987649425847824,154.5485016401279,155.81957948270076,155.32910494046854,0.8808726013919852,129259208704,129259208704,logical_scalar_exponent_result,8.942442693247203e-11,8.942442693247203e-11,8.942442693247203e-11,78.77152757999414,78.77152757999414,78.77152757999414,2.872433442329425,127.13216069042319,2.872433442329425,127.13216069042319,2.872433442329425,127.13216069042319,positive,19,0.9998269706773312,0.00539052100066,0.014914304,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16_g16_s00_p01,1,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,16,15778712,129259208704,ptx_ex2_approx_f16,ex2.approx.f16,1,pid_142986_started_1785109816392,0|2|4|6|8|10|12|14|16|18|20|22|24|26|28|30,0:1|2:1|4:1|6:1|8:1|10:1|12:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1,direct_inline_ptx_ex2_approx_f16,0,not_established_native_f16_requires_sm86_runtime_ncu_and_final_sass_audit,0.5001384775620608,156.3392996534201,154.26292842042216,156.18481118397676,1.9991056050896532,129259208704,129259208704,logical_scalar_exponent_result,8.945056653689573e-11,8.945056653689573e-11,8.945056653689573e-11,178.82112894235323,178.82112894235323,178.82112894235323,81.41115223030025,261.6664710383337,81.41115223030025,261.6664710383337,81.41115223030025,261.6664710383337,positive,19,0.9998863224838181,0.00514628800011,0.014832234,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16_g16_s00_p02,2,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,16,15778712,129259208704,ptx_ex2_approx_f16,ex2.approx.f16,1,pid_142986_started_1785109816392,0|2|4|6|8|10|12|14|16|18|20|22|24|26|28|30,0:1|2:1|4:1|6:1|8:1|10:1|12:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1,direct_inline_ptx_ex2_approx_f16,0,not_established_native_f16_requires_sm86_runtime_ncu_and_final_sass_audit,0.5008388473391469,156.64222484876956,156.80556347256436,157.39781944430177,0.21509250248723788,129259208704,129259208704,logical_scalar_exponent_result,8.938941635481694e-11,8.938941635481694e-11,8.938941635481694e-11,19.226993259631204,19.226993259631204,19.226993259631204,-19.087774767779596,77.93921430261736,-19.087774767779596,77.93921430261736,-19.087774767779596,77.93921430261736,includes_zero,19,0.9998829483480258,0.00546503399528,0.015244122,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16_g16_s00_p03,3,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,16,15778712,129259208704,ptx_ex2_approx_f16,ex2.approx.f16,1,pid_142986_started_1785109816392,0|2|4|6|8|10|12|14|16|18|20|22|24|26|28|30,0:1|2:1|4:1|6:1|8:1|10:1|12:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1,direct_inline_ptx_ex2_approx_f16,0,not_established_native_f16_requires_sm86_runtime_ncu_and_final_sass_audit,0.5003049396910497,157.29112161326955,155.88944610574706,156.98415300059938,-1.2480975942735029,129259208704,129259208704,logical_scalar_exponent_result,8.938906164480058e-11,8.938906164480058e-11,8.938906164480058e-11,-111.56627279324145,-111.56627279324145,-111.56627279324145,-274.34883534855413,4.195132458926219,-274.34883534855413,4.195132458926219,-274.34883534855413,4.195132458926219,includes_zero,19,0.9996450478541475,0.00583388899395,0.013938802,0.0,nan,not_applicable,not_applicable,not_applicable,0.0,pass,
softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16_g16_s00_p04,4,forward,probe_before->full->probe_after,rtx3090,0000:01:00.0,86,16,15778712,129259208704,ptx_ex2_approx_f16,ex2.approx.f16,1,pid_142986_started_1785109816392,0|2|4|6|8|10|12|14|16|18|20|22|24|26|28|30,0:1|2:1|4:1|6:1|8:1|10:1|12:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1,direct_inline_ptx_ex2_approx_f16,0,not_established_native_f16_requires_sm86_runtime_ncu_and_final_sass_audit,0.5001515621809024,157.1353236458131,156.23549883327203,157.2349496274183,-0.9496529028747034,129259208704,129259208704,logical_scalar_exponent_result,8.937991245371502e-11,8.937991245371502e-11,8.937991245371502e-11,-84.87989332035733,-84.87989332035733,-84.87989332035733,-161.6475929688276,-4.71851373079641,-161.6475929688276,-4.71851373079641,-161.6475929688276,-4.71851373079641,negative,19,0.9998705879487553,0.00526702400384,0.014821406,0.0,nan,not_applicable,not_applicable,not_applicable,0.0,pass,
softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16_g16_s00_p05,5,reverse,full_before->probe_middle->full_after,rtx3090,0000:01:00.0,86,16,15778712,129259208704,ptx_ex2_approx_f16,ex2.approx.f16,1,pid_142986_started_1785109816392,0|2|4|6|8|10|12|14|16|18|20|22|24|26|28|30,0:1|2:1|4:1|6:1|8:1|10:1|12:1|14:1|16:1|18:1|20:1|22:1|24:1|26:1|28:1|30:1,direct_inline_ptx_ex2_approx_f16,0,not_established_native_f16_requires_sm86_runtime_ncu_and_final_sass_audit,0.49996739048470484,155.070307709712,155.34965191773583,156.61005132874828,0.4904773912012388,129259208704,129259208704,logical_scalar_exponent_result,8.941290876364968e-11,8.941290876364968e-11,8.941290876364968e-11,43.85501023010928,43.85501023010928,43.85501023010928,8.257470139005191,90.00045140878592,8.257470139005191,90.00045140878592,8.257470139005191,90.00045140878592,positive,19,0.9999133321597133,0.00497794799594,0.013382131,0.0,nan,not_applicable,not_applicable,not_applicable,1.0,pass,
